nch,z,interval,mag,share_soft,share_top2,share_stiff,c_soft,floor
5,0.1,0.01,0.3011122899443667,0.052119818133325245,0.19443645152709763,0.012694380699109279,0.06874322893076777,0.026601462188540072
5,0.1,0.02,0.2383175114074153,0.02568814982355091,0.13222094088722047,0.6331764079987166,0.03819639430476432,0.026041457978568956
5,0.1,0.05,0.23213875273527892,1.841492149356132e-4,0.01236374881262177,0.4161699508429474,0.003150159781688613,0.025000785698355846
5,0.1,0.1,0.21153077120129762,0.043166268186473865,0.04660105998586251,0.22916584004489834,0.04394867691433375,0.02483031812194718
5,0.1,0.2,0.23953427760943402,0.040507908296222236,0.095320332709347,0.0485511612333353,0.04821004970723079,0.024181535732093338
5,0.1,0.5,0.2758007421919635,0.17610717952786475,0.23885873063074714,0.01601739384827831,-0.11574012880820904,0.02384594346485675
5,0.1,1,0.2577012465823682,0.2136331731245887,0.352923498058682,0.00322817946005863,-0.11911072413872388,0.024086168921174947
5,1,0.01,0.12220112167605482,0.018791337831437264,0.1039647542784427,0.027873714750352233,0.016751513145361475,0.024399676314740847
5,1,0.02,0.10008176779140411,0.06377624733218248,0.10201481977423292,0.010451937462358764,0.025274609162273694,0.0242946161685508
5,1,0.05,0.10673668983705033,0.09403092591270969,0.10711627465986943,0.03227046381632234,0.03273023220642801,0.02423921306071259
5,1,0.1,0.08827501060299249,0.022840681663999184,0.07612729168264902,0.012861092636411612,0.013341120563202509,0.02445110019966909
5,1,0.2,0.10490476803193571,0.17044816421265302,0.1724932629189773,0.0097219073651537,0.043310319928317104,0.024281047585817936
5,1,0.5,0.1051999749515148,0.0026795263025762685,0.03960378197534241,0.13014911222755376,0.005445586345842143,0.02430395005120219
5,1,1,0.09319584004654549,0.03481225848072735,0.2983901896383137,0.021647935273344052,0.017388520315121135,0.024718732178486597
10,0.05,0.01,0.22169305407977952,0.01774284405965783,0.02951856504924844,0.8168020457859797,0.02953001748619905,0.025951225057917075
10,0.05,0.02,0.21689448525522617,0.023407874895713613,0.04504982748029548,0.7526626024772736,-0.03318405875435252,0.025834311670123775
10,0.05,0.05,0.18094174256665213,0.06653099368066365,0.07838251677106071,0.43887830601769157,-0.046671394075483,0.025550885661496055
10,0.05,0.1,0.21024543494908005,0.050055708278046396,0.07547010609110062,0.11310633638131405,-0.04703849090715531,0.02505820253216914
10,0.05,0.2,0.23721001239505715,0.054190767481571776,0.12045241780636194,0.04165574203678552,-0.05521990652063057,0.024563161654708728
10,0.05,0.5,0.24592544277379083,0.272052735880455,0.6051176267620267,0.0016368997411454506,-0.12827145199192586,0.023830485662871905
10,0.05,1,0.2277528859329193,0.3237891430652694,0.4119869369659555,6.909630289433264e-4,-0.12959702436740353,0.024214412636403025
10,0.1,0.01,0.2064492863567508,0.0243824025937168,0.02974933986180687,0.039044860493642725,-0.03223677847983003,0.025213715449685155
10,0.1,0.02,0.18229914853937573,0.030826707966107068,0.039581856656486926,0.8046376808387967,-0.032007239113732745,0.02532774274066482
10,0.1,0.05,0.16989728917365535,0.01263018561837462,0.02149790638175242,0.49384000604293293,-0.019093753698546278,0.02509719201414417
10,0.1,0.1,0.16714790333298082,0.003890107658720976,0.02290891085188401,0.26311262417003156,-0.010425136344165148,0.02504785571665291
10,0.1,0.2,0.21985560687126646,0.0386123813420288,0.05442332067967234,0.07268070607279051,-0.04320170022668451,0.024364522078343408
10,0.1,0.5,0.22130999992473604,0.12422894762475711,0.5038307903017295,0.022349107681582197,-0.07800320388040284,0.02380324753703864
10,0.1,1,0.1780012411382801,0.24860978674460193,0.453343636026812,0.01824492319727253,-0.08875281590263358,0.024413097251339066
10,0.2,0.01,0.15512562536147909,0.007935725219089975,0.014272928610842296,0.012902560184766028,-0.013819007613297976,0.024804778783632648
10,0.2,0.02,0.1579296718701335,0.012342415397497537,0.017720241321218896,0.012572586162542629,-0.017545421768299315,0.025080190504376005
10,0.2,0.05,0.13117080086671631,0.006781756359322616,0.011870823631153616,0.5347232063894295,-0.010802101700616242,0.024606802597999695
10,0.2,0.1,0.14218979211034663,0.018630342972126287,0.022408434144296975,0.370202729904642,-0.019407913337950108,0.02464302223622754
10,0.2,0.2,0.15735755195226964,2.8379542428548545e-6,0.002153462911014942,0.2356632956329767,2.650881321277131e-4,0.024377544522690114
10,0.2,0.5,0.15762413212615742,0.024997368415881183,0.285029583403734,0.08357631785834467,-0.02492125183532741,0.024109242691380543
10,0.2,1,0.1560463805124072,0.18055817773384708,0.5147306947645707,0.009699795170851826,-0.06630744308559476,0.024421666306885272
10,0.5,0.01,0.12693893120444058,0.0028353639134096093,0.015937535043938106,0.012217634112834878,-0.006759261384186567,0.02468305949587332
10,0.5,0.02,0.10061596725231631,0.0011704827562744437,0.006231318754852249,0.025685148128795663,0.0034423055459503237,0.024444002877629697
10,0.5,0.05,0.10567960277933858,0.012368137339933286,0.016421012645538437,0.0028625415774364378,0.011752853475956898,0.02457229534190919
10,0.5,0.1,0.10171204208781656,0.006367523691892802,0.011782736871388097,1.5563930348386305e-5,0.00811629191213896,0.02452963332666094
10,0.5,0.2,0.12085280200313332,0.015291935973389927,0.027566501997574912,0.0023679576836305796,0.014944726088941202,0.02435102452334248
10,0.5,0.5,0.13240767025243863,0.007399177761502486,0.29064020600139917,0.0010369661995555592,0.01138950565805268,0.02443725672334488
10,0.5,1,0.1129754348582254,0.009311116902677479,0.6798930225165087,0.003455247910532096,-0.010901466168186335,0.02456441945851446
10,1,0.01,0.07768342958402419,0.07352922386550761,0.07353047196824573,0.0016783071342781188,0.02106485051581459,0.024408151265780102
10,1,0.02,0.08315193355566568,0.01093044487746983,0.011149714554368919,0.00672961920659034,-0.008693432204953437,0.02441578296869377
10,1,0.05,0.05841082853039245,0.10185476720783526,0.1088568296969727,0.0018364294209109752,0.018641636995843737,0.024483082050472914
10,1,0.1,0.07464542046141079,0.0022000100598510678,0.003118992536515572,0.0026222691681216164,0.003501188570152744,0.02443086779676817
10,1,0.2,0.06129985940814849,0.180267160593555,0.18309795683670638,0.004138637591248458,0.026026620977538554,0.02441071711993072
10,1,0.5,0.08302057617145836,0.017553560690210978,0.16828430766040384,0.0036089288455566602,0.010999383789514343,0.024340019463752274
10,1,1,0.07753716312834194,3.2692582328203986e-7,0.5604493301996231,8.337078012460788e-9,-4.433375535058328e-5,0.024584741096617277
10,10,0.01,0.017386826994820543,0.37296468336103716,0.3747789445918052,0.0038556330026284624,-0.010618280348892202,0.02464356444347406
10,10,0.02,0.03865942599884974,0.24547108697902678,0.4078715340111355,0.011136681622742168,-0.019153827611364905,0.02452633974086943
10,10,0.05,0.028870765322424198,0.17742283595904207,0.18630032650485398,9.818511252155977e-6,0.012160825451964223,0.024632668612559156
10,10,0.1,0.020618557964529553,0.39091557703470353,0.6014915417540398,0.14160322675575843,-0.012891390860353659,0.024455151390085066
10,10,0.2,0.02921325157611464,0.024534243740474554,0.18888366570585627,0.02208968963424387,0.004575791597883294,0.024601200926522262
10,10,0.5,0.025381471611826162,0.5865339854291309,0.6490472607825479,0.022463027499869618,-0.019438528671322175,0.024549977645924842
10,10,1,0.027138269393431072,0.09155303462462223,0.27271785789038233,0.0024573829724147725,0.008211424824576033,0.024600970574603462
10,100,0.01,0.0222888506590259,0.15223305573837423,0.15568616637701854,0.1867559967640179,0.008696453053407655,0.02459150077302993
10,100,0.02,0.00886154390896418,0.02351509873287991,0.06043498057387537,3.370874529596768e-6,0.0013588852888255384,0.02439009385823336
10,100,0.05,0.019037346326881935,0.5307377016957712,0.5846351113541792,0.25060576971069776,0.013869039350223319,0.02461114028308751
10,100,0.1,0.03780188154691354,0.09170259498174935,0.6218302326374454,0.21113852064270375,-0.01144733070934452,0.024588820652269954
