nch,z,anchor,dir,interval,dAI,ebar,aniso,zmax,znrm
5,0.1,pool,0ffbda7,0.01,0.6685689066920963,0.05596675382980094,0.2671425080957078,0.0014301787039776353,0.002397489609036266
5,0.1,pool,0ffbda7,0.02,0.705354138779522,0.0336455901911083,0.2859872685562399,0.0013617405560393215,0.0018947024694781585
5,0.1,pool,0ffbda7,0.05,0.7794776881017434,-0.018833854138259543,0.31766260452410605,0.0013431121177126938,0.002024321794256642
5,0.1,pool,0ffbda7,0.1,0.7107544031342118,-0.010035380372104143,0.28999068043053633,0.0016369202686530972,0.003069423439211192
5,0.1,pool,0ffbda7,0.2,0.5900319745349897,-0.013718435950130697,0.24048858533693157,0.0019476677256290967,0.003356526154652947
5,0.1,pool,0ffbda7,0.5,0.45642233317442016,0.04163850138422563,0.18162174862207278,0.0019638452384433945,0.0025880755718090225
5,0.1,pool,0ffbda7,1,0.7502897918269437,0.08338750241474115,0.2947354515397121,0.0013357616227357163,0.002320398862009588
5,0.1,sim,0ffbda7,0.01,0.6286128994209959,0.14173528274492456,0.2139395689868866,0.23129302032550347,0.2884668968016267
5,0.1,sim,0ffbda7,0.02,0.6088070619115062,0.09519944148742292,0.22958964722457073,0.1912965965407959,0.22798550543644527
5,0.1,sim,0ffbda7,0.05,0.6956244417481696,7.038343721459004e-4,0.28398661695594984,0.1518131624419084,0.22206496506400739
5,0.1,sim,0ffbda7,0.1,0.6584673719572373,-0.00896563571662861,0.26866862618892035,0.16491798910407873,0.21369901816841053
5,0.1,sim,0ffbda7,0.2,0.6030698985449254,-0.05442957005880258,0.24011033364902273,0.20242390232450047,0.24742865888610646
5,0.1,sim,0ffbda7,0.5,0.4297491895791225,-0.0667024617176285,0.1622698655269273,0.17310333613608128,0.3137552262342576
5,0.1,sim,0ffbda7,1,0.4559216573212639,-0.05008360465127876,0.17926440104185698,0.16930320799549461,0.2848977569168735
5,1,pool,0ffbda7,0.01,0.2651722016012912,-0.021850275429011235,0.10602805390094791,0.0021582994215169414,0.0029341211912197536
5,1,pool,0ffbda7,0.02,0.2845376232313774,-0.02691598794218253,0.11300061695461297,8.975502856274323e-4,0.001515042223857954
5,1,pool,0ffbda7,0.05,0.27987411096995995,-0.03798742421288887,0.1077584115829213,0.00106936461594899,0.0020717004029019853
5,1,pool,0ffbda7,0.1,0.2812568292374412,-0.020890867924762104,0.1129061806817206,0.001213307126321445,0.0019988680076465848
5,1,pool,0ffbda7,0.2,0.26931846785127833,-0.02753343128128971,0.10644552448477343,0.0013909520609018352,0.002061297658819354
5,1,pool,0ffbda7,0.5,0.2411335217605797,-1.651321551670781e-4,0.09844220953169085,0.001327614697824599,0.0017955451845719818
5,1,pool,0ffbda7,1,0.4158659140487873,0.04022841039905778,0.1649416606198604,0.002052055903071689,0.0035884112073408304
5,1,sim,0ffbda7,0.01,0.2830055596945873,-0.014310175209010316,0.11464689277005517,0.10592329021348053,0.11876460975688892
5,1,sim,0ffbda7,0.02,0.3165217653312411,-0.024341006370203512,0.12690621233921762,0.08694800097216869,0.10155234352618851
5,1,sim,0ffbda7,0.05,0.2700778137025295,-0.026600739392142136,0.10700189206822953,0.08434477917288048,0.1090801991602846
5,1,sim,0ffbda7,0.1,0.2669857200011499,-0.009541539249983636,0.10857802790081315,0.06417650138493451,0.08729116240282342
5,1,sim,0ffbda7,0.2,0.26898984779137636,-0.023327107021725007,0.10730844536724479,0.07750369291248492,0.12309490951747885
5,1,sim,0ffbda7,0.5,0.23212945148160752,-0.01996715021476023,0.09263904838939785,0.08709146684447483,0.10130873355027167
5,1,sim,0ffbda7,1,0.3766236121791706,0.005801127451703727,0.15364647016914124,0.07216115184837557,0.09312550986122094
10,0.05,pool,1c2ae6f,0.01,0.8520312157012627,0.030268693074862966,0.34652080982403016,0.0010391766298533838,0.0015998963764130218
10,0.05,pool,1c2ae6f,0.02,0.8566288092809813,0.029162412507757824,0.3484992202455447,0.002629542103419003,0.005006114029834486
10,0.05,pool,1c2ae6f,0.05,0.7445034218473258,0.04381853469118948,0.3007670641452948,0.001808303848648623,0.002791863483028052
10,0.05,pool,1c2ae6f,0.1,0.6845261770589106,0.028039358621531,0.27804641497642263,0.0020633760584722687,0.003670981891003874
10,0.05,pool,1c2ae6f,0.2,0.5371288347780536,0.029100681125448332,0.21734239013525775,0.0013438077526519866,0.0019411212451039329
10,0.05,pool,1c2ae6f,0.5,0.3966192119609455,0.0338145468431332,0.158348906862495,0.001524513647114266,0.0023205089705777087
10,0.05,pool,1c2ae6f,1,0.6100500180939936,0.07054930523712935,0.23885064990485586,0.002449034998345879,0.003658130806354533
10,0.05,sim,1c2ae6f,0.01,0.7600143402922818,0.06894005027461775,0.3025187085836487,0.19932789790513258,0.21447786843989672
10,0.05,sim,1c2ae6f,0.02,0.7984864696474588,0.054246556290779575,0.321435454638929,0.18456378459412823,0.20994578765444574
10,0.05,sim,1c2ae6f,0.05,0.7231638261859823,0.04188934194708664,0.292243510818002,0.11920293345847668,0.1876213342566144
10,0.05,sim,1c2ae6f,0.1,0.6955719247205226,0.005951377908782318,0.2839036776400679,0.17659436319350727,0.22149321983245654
10,0.05,sim,1c2ae6f,0.2,0.5838025792451721,-0.02168600883676788,0.23734775950691187,0.1984286146641711,0.2527655370887884
10,0.05,sim,1c2ae6f,0.5,0.38751094490381266,-0.0650546949598484,0.14420590163739958,0.15484097536906039,0.3043206223177216
10,0.05,sim,1c2ae6f,1,0.3992345590531593,-0.03573042131481319,0.1590221447358649,0.15813683946806664,0.2783443137566376
10,0.1,pool,1c2ae6f,0.01,0.6205903539863715,0.017657351214701307,0.2527388952883371,8.420348042390812e-4,0.0013812063439609906
10,0.1,pool,1c2ae6f,0.02,0.6553637611231193,0.017565057509040426,0.2669739287900804,0.001372806946087013,0.0017734584781655793
10,0.1,pool,1c2ae6f,0.05,0.6052837185124467,0.025014764076447125,0.24583664948004702,0.001699227945516991,0.0018295823283848694
10,0.1,pool,1c2ae6f,0.1,0.55425557228937,0.025748107560413177,0.2248041551944571,0.001335619904295456,0.0024036955873688484
10,0.1,pool,1c2ae6f,0.2,0.45394428951762594,0.005142360900330095,0.18525062066107756,0.0013839194455078196,0.0015115149796311466
10,0.1,pool,1c2ae6f,0.5,0.32121725872635404,0.016403430172625657,0.1301064257797594,5.95906409490125e-4,7.680397112798729e-4
10,0.1,pool,1c2ae6f,1,0.5773136256764702,0.07463611192347688,0.22355749714312456,0.0012067442559931527,0.0018536821717898783
10,0.1,sim,1c2ae6f,0.01,0.6005267227546873,0.02798217199920989,0.2435618788739749,0.19140158185232747,0.2047040472193941
10,0.1,sim,1c2ae6f,0.02,0.6172426565633845,0.036133488899572734,0.2493841491090572,0.16343744085237052,0.17751387543133698
10,0.1,sim,1c2ae6f,0.05,0.6119057218151488,0.017964102720239985,0.24916271740600165,0.11800168735001786,0.16852357020165654
10,0.1,sim,1c2ae6f,0.1,0.5637174783727866,0.01861239850974842,0.22938281945009853,0.12896266968201014,0.1664814552218453
10,0.1,sim,1c2ae6f,0.2,0.4857094403436815,-0.029482978357870577,0.1960859438961516,0.18680968902224745,0.22641682420856976
10,0.1,sim,1c2ae6f,0.5,0.34681683059263485,-0.06508949336128464,0.12573918847237464,0.1612975712809343,0.24522122203820457
10,0.1,sim,1c2ae6f,1,0.40056312353566076,-0.0202936886282766,0.16226511904277538,0.10923780369291272,0.20614904771807152
10,0.2,pool,1c2ae6f,0.01,0.49804786752645264,-0.001755778605669828,0.2033196095627826,0.0021240145064925246,0.0032302750632433016
10,0.2,pool,1c2ae6f,0.02,0.4962339536170641,0.020337634438960923,0.20156323262398565,0.0014237663512425632,0.00214649423425914
10,0.2,pool,1c2ae6f,0.05,0.457460860381058,-0.010388457588261868,0.186468459564524,0.0014557080658741917,0.0025634596347049615
10,0.2,pool,1c2ae6f,0.1,0.42933656143092386,0.00254837587391891,0.17525739055446457,0.0019433506166885656,0.002621362707020283
10,0.2,pool,1c2ae6f,0.2,0.3557584438545693,-1.0372820427509823e-4,0.1452377394805855,0.002296934632375245,0.0033525204750659435
10,0.2,pool,1c2ae6f,0.5,0.2899397985014281,0.020388606272242243,0.11659825267465891,0.0010269683022399625,0.0016168568156130867
10,0.2,pool,1c2ae6f,1,0.5108749123870775,0.06472548369735238,0.19826617070131033,6.515336671121913e-4,9.354966431969587e-4
10,0.2,sim,1c2ae6f,0.01,0.4912934094954548,0.0052659001875856315,0.20050055527144847,0.14531270731047258,0.1496422789392474
10,0.2,sim,1c2ae6f,0.02,0.4849611246136458,0.028122653963407813,0.19597703538546665,0.14082908264167043,0.14984893521336787
10,0.2,sim,1c2ae6f,0.05,0.45007527871176334,-0.007650233257199592,0.18358313289176564,0.11003591915453008,0.1281374746773837
10,0.2,sim,1c2ae6f,0.1,0.4416874016299576,-0.00409145623279637,0.18027170265740272,0.10240369102354639,0.14102786414364832
10,0.2,sim,1c2ae6f,0.2,0.3776578096067265,-0.021106982645944888,0.15272654913191155,0.12667674511160465,0.15760249488062875
10,0.2,sim,1c2ae6f,0.5,0.3098480728774886,-0.03887630517033585,0.12037277214533125,0.1216512944154486,0.15749078703120342
10,0.2,sim,1c2ae6f,1,0.35617307460925846,-0.016704192649169603,0.1444443830477374,0.0970706725322221,0.17283840921676227
10,0.5,pool,1c2ae6f,0.01,0.29393342717967796,-4.8779464805471465e-4,0.11999682770242931,0.0011328286139635794,0.002349159842409343
