interval,mean,q025,q16,q5,q84,q975,nch,z
1,0.4626374392863792,0.4291613387880849,0.4450388289170083,0.4610190612737475,0.4806611242056323,0.5103734474724313,5,0.1
0.5,0.436268480145749,0.4025230093155865,0.4201026087497076,0.4336735553230208,0.4533265137167009,0.4711886419197755,5,0.1
0.2,0.6079073694577918,0.5799273878788525,0.591371263121083,0.6053859782776524,0.6256483826759162,0.6483395360091009,5,0.1
0.1,0.6628081990368422,0.6150347086147255,0.6409547854521466,0.6615999827421636,0.6842025772734749,0.7027087734711186,5,0.1
0.05,0.700062781627437,0.6531060550953551,0.6749082760335221,0.6995372805386102,0.7263424741224036,0.7533641228190259,5,0.1
0.02,0.6131156424857789,0.5784530036614113,0.5963311359859395,0.612613689427856,0.6296891525667656,0.6485145032661729,5,0.1
0.01,0.6332763606463481,0.6085414133640822,0.6169928412377923,0.6319176690749813,0.653858576723364,0.6654885442234034,5,0.1
1,0.3834181076483846,0.3314755116913228,0.3564196333366252,0.3831607757861292,0.4147966366668229,0.4369762981628457,5,1
0.5,0.2431224092942314,0.2098816429544902,0.225180830709487,0.2423298505068506,0.2617912740231564,0.2784223685971604,5,1
0.2,0.2785608078679266,0.24098076341034,0.2602099022651295,0.2765035268125597,0.2981936819450939,0.3130911005619283,5,1
0.1,0.2779475692922513,0.2335322897722353,0.2505899034192792,0.2769435472442083,0.3018259412421514,0.3271334097611514,5,1
0.05,0.2798490418545247,0.2060443757801064,0.2483149393113988,0.2785168418680755,0.3066905226095292,0.3707008777078519,5,1
0.02,0.3248533608824431,0.2753338240693797,0.2922969280466262,0.3240130491471236,0.3567318293516828,0.3717672778847144,5,1
0.01,0.2969689062906828,0.2181432009421872,0.2521338790428175,0.2934865005878472,0.3427034014195374,0.3927236454661535,5,1
1,0.4065649385003891,0.3677824767868014,0.3869040815133883,0.4075972779174653,0.4282782803696021,0.4429026996591639,10,0.05
0.5,0.3947874054977318,0.3595619783243307,0.3753141675570691,0.3953421861529479,0.4118208243402398,0.4280927776616112,10,0.05
0.2,0.5881298065088383,0.5524195919668794,0.571345057321182,0.5885508460959468,0.6056832544267341,0.6220786628288641,10,0.05
0.1,0.699061434208768,0.6711702668467813,0.6837470600266844,0.6979425051849426,0.7170358792566792,0.7283348196718609,10,0.05
0.05,0.7279300028352514,0.6909228438481856,0.7095738202808046,0.7281553534468429,0.7459238830201886,0.7654969077328265,10,0.05
0.02,0.8034101733395869,0.7629320449111455,0.7823099515169917,0.8032265525453788,0.8252277933484762,0.8527649345349066,10,0.05
0.01,0.7675733562419746,0.7223940054750595,0.7415371108619413,0.7680900995891042,0.7928042845610996,0.8168738002352169,10,0.05
1,0.4077814382436886,0.37617104796082,0.3892844356746333,0.4046541916957571,0.427117093382909,0.4496018518544435,10,0.1
0.5,0.3544926006336657,0.3207948377004504,0.3365251010397537,0.3548956828443174,0.3702853979310528,0.3916531050275464,10,0.1
0.2,0.4909695161865623,0.4590940815415311,0.4795191761748596,0.4929224433355734,0.5051045609355145,0.5142610585587487,10,0.1
0.1,0.5688317744538841,0.5367857066439077,0.5534314581777329,0.5697181812479464,0.5812775852534919,0.597161953230186,10,0.1
