interval,tau_int,r2m,r2v,r1m,r1v,r1v_step,nch,z,n,kurt,acf1,r2bar
1,1.051288026677542,9.262408032390452,16.50606418792317,0.2639217193128374,9.713465272717036,9.23949894206088,5,0.1,10,-0.34939358120768316,0.051297839160793,-0.07375919676095477
0.5,1.022773001582167,18.89125943572467,31.85593969526308,0.5811258376497704,19.09401023050438,18.83646845103011,5,0.1,20,-0.407203015236846,0.01367250873717718,-0.055437028213766504
0.2,1.039071657076025,48.62366505468712,93.47959269440098,1.046722222554746,49.82597267626027,48.54799496404424,5,0.1,50,-0.13040814611198037,0.02632400603078522,-0.027526698906257585
0.1,1.044952894908129,98.35816831576328,206.1092953838523,1.875485243385091,104.9415118137997,98.24910431635088,5,0.1,100,0.0610929538385232,0.06811672782176248,-0.016418316842367164
0.05,1.029669725734076,198.0156180901467,422.74757703869,3.51280702842968,212.7867529655353,197.8462702983259,5,0.1,200,0.11373788519345007,0.07551561444489785,-0.009921909549266528
0.02,1.010634376737133,498.7394661654473,1049.153689861574,6.186452458562838,550.4470652989218,498.4852836011154,5,0.1,500,0.09830737972314818,0.10423934949980551,-0.0025210676691054257
0.01,1.006163156778049,998.2848765964284,2123.509358480728,10.22580703805058,1161.640972097329,997.933085796746,5,0.1,1000,0.12350935848072808,0.16404695728659924,-0.0017151234035716056
1,1.012520423275416,9.802210188791204,18.82266656331752,0.1277549911360793,9.915733058980186,9.7931333529374065,5,1,10,-0.11773334366824817,0.012518945839331996,-0.019778981120879613
0.5,1.028079853391325,19.65558109186746,36.37271455864481,0.2836183135801698,19.95396833404082,19.64519707645862,5,1,20,-0.1813642720677595,0.015717391705487582,-0.017220945406626997
0.2,1.030104624391412,49.72261612509274,96.89707125420402,0.3727748697596571,51.81011429198549,49.70880208191388,5,1,50,-0.062058574915919484,0.0422724371150387,-0.005547677498145109
0.1,1.016168397814851,99.72300000767272,200.5207700281123,0.5195958816359583,102.7796453172725,99.70101500507332,5,1,100,0.005207700281123273,0.030878625579112917,-0.002769999923272759
0.05,1.010674725339408,199.8458489098681,406.925279607125,1.135687570478437,202.1247107913427,199.8098485017219,5,1,200,0.03462639803562517,0.011585326283858555,-7.707554506595216e-4
0.02,0.998328201035882,499.8309645388906,998.6545800707042,1.804513836448359,524.7515463070617,499.763386274954,5,1,500,-0.0026908398585914206,0.04999998142793127,-3.3807092221882495e-4
0.01,0.9987655725605776,999.2368180191172,1967.60161742979,3.279652841249819,1063.838214792525,999.1092630692729,5,1,1000,-0.032398382570210105,0.06478665959357044,-7.631819808827656e-4
1,1.002489019506782,9.363932511937916,16.51353826975814,0.2184848815846117,9.368306191226017,9.345025743986811,10,0.05,10,-0.3486461730241861,0.002491212745367344,-0.06360674880620842
0.5,1.051165230413643,18.84668414796275,31.71666867872364,0.4947121339788705,19.9822171679368,18.80052372808738,10,0.05,20,-0.4141665660638181,0.06285428304765817,-0.05766579260186244
0.2,1.050543573580678,48.60640132219699,95.48409352719494,1.169857210499379,50.79755171378928,48.51291537635377,10,0.05,50,-0.09031812945610107,0.04709336307067402,-0.027871973556060303
0.1,1.043017484271054,98.3761763249084,212.1688659353639,1.795038824249465,105.3957342815633,98.2554580207306,10,0.05,100,0.12168865935363904,0.07267053051980277,-0.016238236750915958
0.05,1.021047714904274,198.6457124155807,457.6181806005284,3.160073647145783,213.0535428646717,198.4665893892051,10,0.05,200,0.28809090300264195,0.07349828260947588,-0.006771437922096446
0.02,1.011855488570753,498.5177948708914,1094.521098371026,6.127264794120086,566.1907105856355,498.2400292574928,10,0.05,500,0.18904219674205214,0.13638141726470066,-0.0029644102582171428
0.01,1.000345299290198,998.7762513676812,2208.826068883573,8.752409730799975,1107.999101337502,998.4184540485588,10,0.05,1000,0.20882606888357325,0.10975422864491002,-0.0012237486323187774
1,1.02908992162781,9.438593080294456,17.02325854018973,0.2061169457836848,9.700268223352769,9.426073737810212,10,0.1,10,-0.29767414598102704,0.029088939166972416,-0.05614069197055438
0.5,1.024388959150943,19.13644545636081,32.12733246130229,0.473466036796399,19.56465527309809,19.09783392723228,10,0.1,20,-0.39363337693488565,0.024443680243765975,-0.04317772718195945
0.2,1.034203970381175,48.8920304933762,95.26571165348112,0.9873499568177658,49.98150842404662,48.82263296321583,10,0.1,50,-0.09468576693037756,0.023736439239233853,-0.02215939013247603
