nch,z,interval,k,loglam,beta,share,mag
5,0.1,0.01,1,0.48098881315635267,-0.021396855222143477,0.005049436707616239,0.3011122899443667
5,0.1,0.01,2,0.338725808731809,-0.12775147317625712,0.18000098039118007,0.3011122899443667
5,0.1,0.01,3,0.16595623032452983,0.18098236155080588,0.36125639044273744,0.3011122899443667
5,0.1,0.01,4,0.023385245211379784,-0.00869110847916015,8.330927940094939e-4,0.3011122899443667
5,0.1,0.01,5,-0.014528673093496026,-0.20254694089459752,0.4524748172813798,0.3011122899443667
5,0.1,0.01,6,-0.1441157278610279,0.005910416108556624,3.852823830769689e-4,0.3011122899443667
5,0.1,0.02,1,0.48631214805841055,-0.00920922729817321,0.0014932567067055546,0.23831751140741542
5,0.1,0.02,2,0.2975152714299636,0.10229695229288581,0.18425253842701778,0.23831751140741542
5,0.1,0.02,3,0.03233896115676592,-0.15704998391650854,0.4342740532403641,0.23831751140741542
5,0.1,0.02,4,-2.7256477048435003e-4,0.018446127531951788,0.005990988741849437,0.23831751140741542
5,0.1,0.02,5,-0.03677124391273584,0.14432355768911392,0.36674359826181474,0.23831751140741542
5,0.1,0.02,6,-0.20792592303738236,-0.020285796864742387,0.007245564622248436,0.23831751140741542
5,0.1,0.05,1,0.4244686588813669,-0.02792501932273798,0.014470771012479738,0.23213875273527895
5,0.1,0.05,2,0.27217584832988473,-0.1107093022268094,0.22744318779064612,0.23213875273527895
5,0.1,0.05,3,-0.010262080985130545,0.059804649048461715,0.06637042504876922,0.23213875273527895
5,0.1,0.05,4,-0.057474099077747705,-0.19108245244928135,0.6775577541862741,0.23213875273527895
5,0.1,0.05,5,-0.18761180678428824,-0.014077204121186316,0.0036773716412405798,0.23213875273527895
5,0.1,0.05,6,-0.43707351413120976,0.023765034400513155,0.010480490320590192,0.23213875273527895
5,0.1,0.1,1,0.39348601544108863,-0.02157722074771888,0.010405043587711615,0.21153077120129768
5,0.1,0.1,2,0.2559185348832687,-0.07632653583860799,0.13019790566089606,0.21153077120129768
5,0.1,0.1,3,-0.018553761341579236,-0.03337903017592749,0.024900055940588688,0.21153077120129768
5,0.1,0.1,4,-0.08302737687438831,-0.18495276334227925,0.7644948133126901,0.21153077120129768
5,0.1,0.1,5,-0.18890618212753807,0.009416890678614367,0.001981837089628716,0.21153077120129768
5,0.1,0.1,6,-0.4127110442806234,0.05516872740252433,0.06802034440848483,0.21153077120129768
5,0.1,0.2,1,0.31041279699260815,-0.061445637153119674,0.06580316207424891,0.23953427760943408
5,0.1,0.2,2,0.15467856932372012,-0.06033120120369004,0.06343787168499808,0.23953427760943408
5,0.1,0.2,3,-0.054067247470527685,-0.06977766410511088,0.08485892254199454,0.23953427760943408
5,0.1,0.2,4,-0.09690748805732538,0.1925983314931129,0.6465017436013203,0.23953427760943408
5,0.1,0.2,5,-0.20665231128796577,0.010250870892496315,0.0018314125546175495,0.23953427760943408
5,0.1,0.2,6,-0.4340417398533249,0.08884328860465011,0.13756688754282065,0.23953427760943408
5,0.1,0.5,1,0.16884414925411265,-0.060445076473442244,0.04803203661824278,0.27580074219196354
5,0.1,0.5,2,0.07893620394142745,-0.09468391730603257,0.11785868029009848,0.27580074219196354
5,0.1,0.5,3,-0.08351960665965494,0.050029695673634154,0.03290522472441947,0.27580074219196354
5,0.1,0.5,4,-0.0895710037317501,-0.12592276203662414,0.20845754611068953,0.27580074219196354
5,0.1,0.5,5,-0.13214447616406805,-0.12254045620583526,0.1974095345668124,0.27580074219196354
5,0.1,0.5,6,-0.34276003694583806,0.1734120009459527,0.39533697768973725,0.27580074219196354
5,0.1,1,1,0.2703405701974981,-0.20232905858365446,0.6164295973866032,0.2577012465823682
5,0.1,1,2,0.03640011637520313,0.01804189279274615,0.004901524265115591,0.2577012465823682
5,0.1,1,3,-0.043442913058865336,0.08568189512015942,0.11054652333031185,0.2577012465823682
5,0.1,1,4,-0.09613864176595259,0.03336678972317051,0.016764700921750492,0.2577012465823682
5,0.1,1,5,-0.15329359614701757,-0.09724670699472535,0.14240222308201886,0.2577012465823682
5,0.1,1,6,-0.31436716350853827,0.08506305201486414,0.1089554310142,0.2577012465823682
5,1,0.01,1,0.13819640886216275,-0.031632634689862056,0.06700702667346743,0.12220112167605478
5,1,0.01,2,0.10712288611883596,-0.04192307705701763,0.11769443222508952,0.12220112167605478
5,1,0.01,3,-0.00818038585312373,-0.07003109245632298,0.3284213771496651,0.12220112167605478
5,1,0.01,4,-0.032349611218797945,0.052495783126708336,0.18454337256488598,0.12220112167605478
5,1,0.01,5,-0.08979879403961977,0.06244584910951033,0.2611299983875061,0.12220112167605478
5,1,0.01,6,-0.20085155512351915,0.024805260406108604,0.041203792999385896,0.12220112167605478
5,1,0.02,1,0.14993848680119765,-0.022745122677035316,0.051649560616616186,0.10008176779140417
5,1,0.02,2,0.07961246316095104,-0.03548783696655292,0.1257329550709086,0.10008176779140417
5,1,0.02,3,0.002816075377250296,-0.004289352114395446,0.0018368490262544112,0.10008176779140417
5,1,0.02,4,-0.024948344634897212,-0.06671874978317774,0.44441208823180245,0.10008176779140417
5,1,0.02,5,-0.11243877552773429,-0.05898398617598469,0.3473428012141526,0.10008176779140417
5,1,0.02,6,-0.24102594339798855,0.01705087466067992,0.029025745840265762,0.10008176779140417
5,1,0.05,1,0.10616660028569373,-0.032352219957335414,0.09187148005153728,0.10673668983705034
5,1,0.05,2,0.06542533167556983,-0.03256915450924951,0.09310768072144346,0.10673668983705034
5,1,0.05,3,0.010463879250132237,-0.015943651622653352,0.022312494795203287,0.10673668983705034
5,1,0.05,4,-0.021139401474828304,-0.06549296100808533,0.37649723517818123,0.10673668983705034
