interval,ebar,s,wmax,lmax,lmin,lmax_m,lmax_lo,lmax_hi,lmin_m,lmin_lo,lmin_hi,ebar_m,ebar_lo,ebar_hi,s2_m,s2_lo,s2_hi,nch,z
0.5,0.01843128972056425,0.03274140444449597,0.05695400734424442,1.058607121122932,0.964829382009518,1.08285378389624,1.052735619596713,1.109715642235587,0.953365148138642,0.929698719227768,0.9736309144370306,0.01798511701842812,0.00475588986309036,0.03206431533278223,0.00191353781919928,0.00104342474751419,0.00290351597436384,10,100
1,0.006643380063317026,0.03728661781088267,0.059765952117672466,1.0615880550308534,0.9631842857768164,1.080918256154136,1.051158849351934,1.123345580004348,0.942023285906926,0.9128414583898224,0.9687171181537914,0.00615546534202128,-0.01038491895264106,0.02400180977432397,0.00229292106159642,0.00125257975385548,0.00423790991578919,10,100
0.01,0.004240291626530503,0.03325782180956415,0.05509811386758538,1.0525567273000538,0.9463922891904467,1.066836977132637,1.035029492161281,1.095993203981204,0.937393240646757,0.8991424847096064,0.9651107294118518,0.00383505285524348,-0.00836111401024593,0.01676507570307557,0.00187008144641128,8.9244978401886e-4,0.0033287184650779,10,1000
0.02,0.014711811443903834,0.03059652068310328,0.057184379431559365,1.058851022748056,0.972517304071555,1.077624348307364,1.053524429571707,1.109040287225741,0.9569593199472844,0.9245148618013848,0.9779178435396058,0.01429661459382247,-0.00142120032328224,0.02909019467365305,0.00171421864756601,0.00106245581163672,0.00282003721881313,10,1000
0.05,-0.007143387168097576,0.028990601104747597,0.05493399266438781,1.032857163204462,0.9465476249782451,1.048991368150228,1.026633281517158,1.076640828862419,0.9344047979225022,0.9027922884068524,0.9564753417229664,-0.00752321239644661,-0.02189980289172078,0.00565792240370789,0.00155690145449747,8.9866807377074e-4,0.00262735141226726,10,1000
0.1,0.002366998281048764,0.033866734432865905,0.046999390361780344,1.0481213701046148,0.9542105588572101,1.066668069923888,1.035646697215067,1.09856892124583,0.940633276295965,0.913604470220738,0.9633832738711388,0.00194750240406189,-0.01631344038526347,0.01813380663309836,0.00190746190626546,0.00102036886105613,0.00318583369706477,10,1000
0.2,-0.0013221243926069032,0.02854317373911939,0.05091639136386603,1.0522349136793026,0.9620070526967058,1.06441907568035,1.028892586042517,1.112494487394523,0.9449554006818822,0.9235552581650904,0.9670802723506624,-0.00174218324802455,-0.01386566233048235,0.01225724177830489,0.00160153220986487,8.2842564944764e-4,0.0024222674308435,10,1000
0.5,0.006600757139839658,0.03139033545516652,0.05479660229235988,1.056325738589833,0.9601150059812992,1.071009431373696,1.043151523228892,1.105715671701631,0.9464275950419142,0.9183472954183668,0.975804007793533,0.00617091619350569,-0.00747306659216746,0.01995515319118575,0.00179185196461403,8.8031911895509e-4,0.00300934199706687,10,1000
1,-0.0113514744294561,0.036104349829888735,0.06299393219178963,1.0412822810991693,0.9389491710353371,1.055218750611092,1.034588737573894,1.080684580031809,0.9209601199373691,0.8791782179833953,0.94776474291368,-0.0118368870386479,-0.02607908932138008,0.00344536680623582,0.00222625740539801,0.00132475812199094,0.00358578456140357,10,1000
0.01,-3.406921441268922e-4,0.0304670679834428,0.039950545555094266,1.0384564113793906,0.9608369556356487,1.060867655564199,1.030039598383913,1.093244752253803,0.9436523671692808,0.9228307793305504,0.96524613474443,-7.4737423330759e-4,-0.0160210912234037,0.01164682013152858,0.00168836408791749,8.5618518430953e-4,0.00293859161509203,10,10000
0.02,0.005925572852114989,0.030872430967442785,0.06156423695602039,1.0634988102609455,0.9651180667418258,1.074220031023709,1.03979774654713,1.111539612607183,0.948720680014866,0.920994481306594,0.9715699297449988,0.00552551085606372,-0.00885549918546877,0.01535087120866134,0.00171733452203866,8.5993662447459e-4,0.00275128253806398,10,10000
0.05,-0.010067200170954171,0.019505088384518393,0.04070543423165117,1.0193276765962755,0.9601119043987376,1.03764884204144,1.013452265601383,1.064217589602617,0.9418270429783298,0.9140009473336694,0.9643333440487248,-0.01045330768169108,-0.02514376362564163,0.0036046157708011,0.00111023517587545,4.9527383191759e-4,0.00184620126435762,10,10000
0.1,0.014633676739293729,0.030630436269148992,0.06129035288185325,1.0632075747581229,0.9832185830532162,1.080819228965832,1.04236381132361,1.118796258647409,0.9607850813657514,0.9353762184727642,0.9823999445005124,0.0142300730984128,-9.8030831901283e-4,0.02747622767214829,0.00169309029942994,7.4102533493001e-4,0.00300716833483082,10,10000
0.2,0.0095950915381821,0.03200221082021858,0.05309888440404383,1.0545339169217622,0.9586237879142929,1.070398675244504,1.041471828935586,1.100436868702235,0.9459767061503576,0.9197587396827164,0.9685006309899886,0.00917992532422551,-0.0046442801471568,0.02573857927832304,0.001804157734128,9.8447596488316e-4,0.00277344762111826,10,10000
0.5,0.0018331811755184406,0.019876312052249514,0.03772352816258739,1.0202380063770855,0.9629791407035486,1.050421875926578,1.029969357884464,1.073232692418874,0.9486434086168825,0.91809712170646,0.9755734367209188,0.00140292884125662,-0.01511480299824296,0.01774595019287215,0.00119549255316387,5.4868645832555e-4,0.0021050435028538,10,10000
1,0.017741049020506362,0.02714911289408008,0.06307114312969371,1.0651026112691542,0.9819988434036376,1.081856700202481,1.04707523587084,1.135234687234498,0.9612237104774088,0.932956083115442,0.9825463206147876,0.01726184366988157,-7.9341521845145e-4,0.03354418443275131,0.00163393073987377,8.4953998145977e-4,0.00288770351578966,10,10000
0.01,0.08365099983914659,0.2743610290541169,0.4997378195301976,1.6482890648432458,0.6969290109093149,1.650143459860585,1.604415215417133,1.687233185789603,0.6958634862400048,0.6722619492167278,0.7244942544583735,0.08325879268397511,0.07166633843490194,0.0986650568404122,0.07603599432663505,0.07031578951147434,0.08297139874725688,20,0.05
0.02,0.0665339060633344,0.27404410606813184,0.5018657776281108,1.6518002894509374,0.6836245157908971,1.653606643679451,1.593497718848006,1.700904111153986,0.6827062598548918,0.6646712301749348,0.7013192662506782,0.06616206379768116,0.05331051350894729,0.08145270897791435,0.07579589070273371,0.06850504032371055,0.08184058571190206,20,0.05
0.05,0.04492268903880015,0.2570422229913911,0.43991915110979907,1.5525816889304445,0.6786521242852778,1.554152549465495,1.498916700803968,1.601491035190547,0.6776363736644049,0.6613194996076003,0.694585446135947,0.04455246249587819,0.03262326974731995,0.05568197114235493,0.06678115486519072,0.05993994674992556,0.07313946710668101,20,0.05
0.1,0.003364781268190388,0.2429448758004325,0.42253317053265643,1.4601034522034408,0.6553845145128407,1.461702805149451,1.416071339317663,1.519773119267872,0.6545713171027713,0.6387424709389764,0.6702384925702936,0.00300073013740331,-0.0094050318766729,0.01877806219487555,0.05970355217037327,0.05464842539361373,0.064813718687572075,20,0.05
0.2,-0.013039117607947001,0.1990455384612562,0.36648124049037967,1.3275529621319322,0.6931691398737339,1.329558895351183,1.294734300100868,1.3641680398164,0.6919951941417518,0.6659746743798839,0.7162718392371097,-0.01344123595589205,-0.0266897568616234,-2.5961383540171e-4,0.04039300929338618,0.03530458578246037,0.04576265195253029,20,0.05
0.5,-0.0537109376261687,0.1204025725840326,0.29685980415932395,1.085123930017406,0.7431481913444716,1.090803913936798,1.05272665272845,1.121929232811207,0.7414366183738541,0.714508629936426,0.7618199576033808,-0.05412994468489953,-0.06907930488989668,-0.03768745626398042,0.01527626069498412,0.01251597666777623,0.01850834166559534,20,0.05
