interval,ebar,s,dAI,comp,nch,z
0.1,0.0010955811973134858,0.09830161863398482,NA,sample,10,0.2
0.2,-0.013407011779540476,0.1213268827292576,NA,sample,10,0.2
0.5,-0.0452840386920836,0.10234948713792522,NA,sample,10,0.2
1,-0.040068059105724745,0.07923963810660807,NA,sample,10,0.2
0.01,0.010967759757249361,0.1814396039977444,NA,corr,10,0.2
0.02,0.02058433142393345,0.17263372578980463,NA,corr,10,0.2
0.05,-0.007685622662677523,0.12934552961183987,NA,corr,10,0.2
0.1,-0.0051862101857577175,0.09371051307700354,NA,corr,10,0.2
0.2,-0.007689079308941367,0.0611178903262488,NA,corr,10,0.2
0.5,0.006420470738952883,0.07711232420928649,NA,corr,10,0.2
1,0.02334491349512719,0.09761302391264247,NA,corr,10,0.2
0.01,0.008185361672401666,0.11967168437203245,NA,total,10,0.5
0.02,-0.014728202336223739,0.1456887403302556,NA,total,10,0.5
0.05,-0.0026152591682522225,0.13394226297789263,NA,total,10,0.5
0.1,-0.004133570836694945,0.11859013312250083,NA,total,10,0.5
0.2,-0.017675154495274084,0.10815611951073384,NA,total,10,0.5
0.5,-0.008332474808700606,0.08455968521790734,NA,total,10,0.5
1,-0.005455527755131828,0.14651491342320902,NA,total,10,0.5
0.01,-0.0012441261389100166,0.00644093216248659,NA,sample,10,0.5
0.02,1.9338774043335381e-4,0.013660972629359995,NA,sample,10,0.5
0.05,-0.002705690013882666,0.03320423481052428,NA,sample,10,0.5
0.1,-9.647536967006657e-4,0.0472183993230109,NA,sample,10,0.5
0.2,-0.009402117398195194,0.07333784670571104,NA,sample,10,0.5
0.5,-0.015605644107110378,0.08372285969777819,NA,sample,10,0.5
1,-0.024997007219755896,0.0850176234513102,NA,sample,10,0.5
0.01,0.009441894757245788,0.1145681374723387,NA,corr,10,0.5
0.02,-0.014913134032737956,0.1341305017181544,NA,corr,10,0.5
0.05,1.0234691283202377e-4,0.10386364939041741,NA,corr,10,0.5
0.1,-0.003196031108205379,0.07719504380147768,NA,corr,10,0.5
0.2,-0.008277979211326059,0.05117655271056589,NA,corr,10,0.5
0.5,0.007268361998929898,0.056264398914471915,NA,corr,10,0.5
1,0.01951571218862065,0.07406330417646798,NA,corr,10,0.5
0.01,-0.013273761515513415,0.1112811742308998,NA,total,10,1
0.02,-0.010537661791855493,0.09053548081897152,NA,total,10,1
0.05,-0.006168203910927097,0.10227480123083503,NA,total,10,1
0.1,-0.00990649119243487,0.0970012871413163,NA,total,10,1
0.2,-0.009617374383665585,0.07414378727970475,NA,total,10,1
0.5,-0.01506733639557394,0.06918206677714182,NA,total,10,1
1,-3.6780440090625373e-4,0.12181303651055174,NA,total,10,1
0.01,4.6468317196529184e-5,0.004878033023707675,NA,sample,10,1
0.02,-0.001798606965412757,0.008833470685534008,NA,sample,10,1
0.05,0.0021043483915836854,0.01841448108914256,NA,sample,10,1
0.1,-0.0038267381469018155,0.028587832029936887,NA,sample,10,1
0.2,-0.0034076243801979696,0.0444400030860523,NA,sample,10,1
0.5,-0.019538793196954115,0.0491389901468154,NA,sample,10,1
1,-0.014725998217825364,0.08139507719185057,NA,sample,10,1
0.01,-0.01332017943188538,0.10797445528876505,NA,corr,10,1
0.02,-0.008753716075691404,0.0835592699856598,NA,corr,10,1
