interval,ebar,s,dAI,comp,nch,z
0.05,0.0012569598329546293,0.07508206247287935,NA,corr,50,0.2
0.1,-0.010067983900758738,0.06271194831261215,NA,corr,50,0.2
0.2,0.007627161397125638,0.04602369545731915,NA,corr,50,0.2
0.5,0.004104318884754716,0.04052892809621247,NA,corr,50,0.2
1,0.011683820966527784,0.05111776954058284,NA,corr,50,0.2
0.01,0.009231178305261692,0.11583709510348406,NA,total,50,0.5
0.02,0.010010404596968555,0.09739281301618642,NA,total,50,0.5
0.05,0.009535229190425109,0.10151283952937021,NA,total,50,0.5
0.1,0.003781640369397408,0.09718000013533061,NA,total,50,0.5
0.2,-0.0051571185759030505,0.09311683292148393,NA,total,50,0.5
0.5,-0.007641139864204625,0.03355211538350178,NA,total,50,0.5
1,-0.022488823032097607,0.06420904822910664,NA,total,50,0.5
0.01,0.0024947241063826347,0.009002199856174141,NA,sample,50,0.5
0.02,0.003777235390756806,0.017315812303732588,NA,sample,50,0.5
0.05,0.00916572139488584,0.04117157523948224,NA,sample,50,0.5
0.1,0.005425380278197639,0.05327474451603441,NA,sample,50,0.5
0.2,-0.006455252978439045,0.06645084383680656,NA,sample,50,0.5
0.5,-0.012096732421564584,0.039244948151438606,NA,sample,50,0.5
1,-0.018049227654119978,0.03321274496549439,NA,sample,50,0.5
0.01,0.006733972963150071,0.10812275361710882,NA,corr,50,0.5
0.02,0.006231292139321555,0.08242900451666159,NA,corr,50,0.5
0.05,3.6497181435425483e-4,0.06951333490737513,NA,corr,50,0.5
0.1,-0.0016445236876604825,0.051305238895483184,NA,corr,50,0.5
0.2,0.0012973260839159592,0.0350729815976412,NA,corr,50,0.5
0.5,0.004451330942668785,0.026607008183747484,NA,corr,50,0.5
1,-0.004461175020919973,0.04087440276565288,NA,corr,50,0.5
0.01,8.878944698949735e-4,0.08572984963963765,NA,total,50,1
0.02,0.007348735917786611,0.08180207178659744,NA,total,50,1
0.05,-0.002221621095010324,0.07839002301686501,NA,total,50,1
0.1,0.01109641786329981,0.07065072705850246,NA,total,50,1
0.2,-0.009880182663899865,0.05768131290875579,NA,total,50,1
0.5,-0.0011391861893850679,0.03693286204311019,NA,total,50,1
1,-0.0013551444720541633,0.0629993154224699,NA,total,50,1
0.01,0.001997288146854394,0.0061506790544127435,NA,sample,50,1
0.02,0.0030841903290792045,0.013185403336779812,NA,sample,50,1
0.05,0.0026613958804116715,0.021263284215097374,NA,sample,50,1
0.1,0.005357293228452887,0.03782340868002854,NA,sample,50,1
0.2,-0.0067460567831515205,0.043938138328109146,NA,sample,50,1
0.5,-0.008578294600946145,0.03508346253464022,NA,sample,50,1
1,-0.009220268995222016,0.03106628547740536,NA,sample,50,1
0.01,-0.0011106640636037583,0.08089092862330993,NA,corr,50,1
0.02,0.004266541987445168,0.07109344219405511,NA,corr,50,1
0.05,-0.004882196517462617,0.06101081275690336,NA,corr,50,1
0.1,0.00574152326580396,0.04522545942500808,NA,corr,50,1
0.2,-0.003137426685741585,0.036770094616034185,NA,corr,50,1
0.5,0.00743320896288069,0.03547370986448789,NA,corr,50,1
1,0.00785756074428836,0.04038326534590566,NA,corr,50,1
0.01,-0.014989439819285199,0.04121987589506759,NA,total,50,10
0.02,-0.005195933088588307,0.03186046743702495,NA,total,50,10
0.05,0.0066802693634934575,0.02930374229227197,NA,total,50,10
0.1,-0.012999393458209548,0.034535053100807955,NA,total,50,10
0.2,-0.014540824023115262,0.03270859461622161,NA,total,50,10
0.5,-0.009660818946100132,0.03144914441693896,NA,total,50,10
1,-0.00263230405690991,0.05128564626857593,NA,total,50,10
0.01,-4.0776871496641005e-4,0.001969745124476683,NA,sample,50,10
0.02,1.82783494033225e-4,0.0029395032442755807,NA,sample,50,10
0.05,0.001815289315527849,0.004678267214284206,NA,sample,50,10
0.1,0.0010382553818624079,0.009462585405708565,NA,sample,50,10
0.2,-0.0017059258592395754,0.013847721176003431,NA,sample,50,10
0.5,-0.005264891101399998,0.016486575518661208,NA,sample,50,10
1,-0.002047547785553695,0.03223308714737114,NA,sample,50,10
0.01,-0.014581453326218513,0.04048395256700171,NA,corr,50,10
0.02,-0.0053802790508473445,0.030480933182229192,NA,corr,50,10
0.05,0.004864948038665303,0.026814087025159233,NA,corr,50,10
0.1,-0.014035489110475818,0.029276005249839226,NA,corr,50,10
0.2,-0.012843404222604247,0.02714512183105148,NA,corr,50,10
0.5,-0.004404781415152555,0.02748891423140424,NA,corr,50,10
1,-6.03589974828046e-4,0.025401750662657166,NA,corr,50,10
0.01,0.05635802107161735,0.19906167854333912,NA,total,100,0.05
0.02,0.03996594484803432,0.19602204843489318,NA,total,100,0.05
0.05,0.02129434437824135,0.17855695468151303,NA,total,100,0.05
0.1,0.023846577527015998,0.14714267394414848,NA,total,100,0.05
0.2,0.008627882017997506,0.09530651161732473,NA,total,100,0.05
0.5,-0.007754364245826939,0.04631858241035744,NA,total,100,0.05
1,-0.005510366984136514,0.052029033856423754,NA,total,100,0.05
0.01,0.031375239411624616,0.06648102516507286,NA,sample,100,0.05
0.02,0.04023549230194089,0.10204633925945886,NA,sample,100,0.05
0.05,0.031003841647702715,0.1343515360670789,NA,sample,100,0.05
0.1,0.012628959552807227,0.13108447154791114,NA,sample,100,0.05
0.2,8.54085365971571e-4,0.09541929371762867,NA,sample,100,0.05
0.5,-0.00316470893289078,0.042505472609371195,NA,sample,100,0.05
1,-0.009815605372337161,0.03169930693801842,NA,sample,100,0.05
0.01,0.024980991840704955,0.14286748533902952,NA,corr,100,0.05
0.02,-2.682324189098987e-4,0.10330075093547844,NA,corr,100,0.05
0.05,-0.009707456915975127,0.055438939046064714,NA,corr,100,0.05
0.1,0.011221988271630007,0.041922537163022494,NA,corr,100,0.05
0.2,0.007765897557484858,0.0337730257452017,NA,corr,100,0.05
0.5,-0.004589437528116968,0.035780758862783785,NA,corr,100,0.05
1,0.004292399430904542,0.029300039678030205,NA,corr,100,0.05
0.01,0.04077213050987132,0.162361229752153,NA,total,100,0.1
0.02,0.03184724361963296,0.1640940328853625,NA,total,100,0.1
0.05,0.011681067832509254,0.15374450262147704,NA,total,100,0.1
0.1,0.0023660267909877126,0.13381117178371996,NA,total,100,0.1
0.2,-0.009961751598079292,0.09760367558154577,NA,total,100,0.1
0.5,-0.018368961281721705,0.0482082098466732,NA,total,100,0.1
1,0.0024184338808163498,0.05754821448732301,NA,total,100,0.1
0.01,0.016452620028820947,0.03847078551480634,NA,sample,100,0.1
0.02,0.024366898760008422,0.06514225730904975,NA,sample,100,0.1
0.05,0.018813182117412286,0.09883581467587516,NA,sample,100,0.1
0.1,0.009838180432719758,0.10719996521583165,NA,sample,100,0.1
0.2,-0.004982558841741924,0.0893021729331962,NA,sample,100,0.1
0.5,-0.012944457648938312,0.04296865848578712,NA,sample,100,0.1
1,8.315674533565764e-4,0.030036801874234333,NA,sample,100,0.1
0.01,0.024318324546019923,0.1292776904835068,NA,corr,100,0.1
0.02,0.007481940022158396,0.10735236463035261,NA,corr,100,0.1
0.05,-0.007132672926971501,0.06258625637466912,NA,corr,100,0.1
0.1,-0.007469228688280439,0.03773126503988505,NA,corr,100,0.1
0.2,-0.004969429899639911,0.03247457813456703,NA,corr,100,0.1
0.5,-0.005443638996648354,0.032550158887189845,NA,corr,100,0.1
1,0.0015746737874999135,0.03377092567099,NA,corr,100,0.1
0.01,0.021961808522254208,0.12975209615670888,NA,total,100,0.2
0.02,0.016235093330133912,0.13546645252217115,NA,total,100,0.2
0.05,0.008975612130664157,0.1191353626710986,NA,total,100,0.2
0.1,0.009421368915845656,0.11421864493321125,NA,total,100,0.2
0.2,-0.004016340473306928,0.09434461176750471,NA,total,100,0.2
0.5,-0.023924115849821567,0.04457372986066912,NA,total,100,0.2
1,-0.013136426076935609,0.05892911823113433,NA,total,100,0.2
0.01,0.008549894807368055,0.02363959778317596,NA,sample,100,0.2
0.02,0.014925183938571174,0.0418704756312367,NA,sample,100,0.2
0.05,0.014688590588569042,0.06824240221492489,NA,sample,100,0.2
0.1,0.014698053221852714,0.08589436100925392,NA,sample,100,0.2
0.2,9.8843444724474e-5,0.07640292474841782,NA,sample,100,0.2
0.5,-0.008841358790671406,0.039010667885244245,NA,sample,100,0.2
1,-0.019365489140729712,0.034053268500620404,NA,sample,100,0.2
0.01,0.013411972379170224,0.1091397051029269,NA,corr,100,0.2
0.02,0.001309781751830689,0.09960168255229947,NA,corr,100,0.2
0.05,-0.005709026019330255,0.05795134041487659,NA,corr,100,0.2
0.1,-0.005274846691282265,0.036184946462266276,NA,corr,100,0.2
0.2,-0.004114084374314925,0.03722574741956145,NA,corr,100,0.2
0.5,-0.015087527652664724,0.02834086754986882,NA,corr,100,0.2
1,0.0062173349485533476,0.03457220678370331,NA,corr,100,0.2
0.01,0.010609609473952732,0.08763431394982932,NA,total,100,0.5
0.02,0.018337246382159236,0.0992360115597262,NA,total,100,0.5
0.05,0.010705683940353657,0.09072722013990336,NA,total,100,0.5
0.1,0.004334855388611835,0.0867004301487042,NA,total,100,0.5
0.2,0.002030610506655906,0.06779403666756106,NA,total,100,0.5
0.5,-0.0023040528541222642,0.04146581549890166,NA,total,100,0.5
1,-0.01228358515624455,0.05421299077514722,NA,total,100,0.5
0.01,0.002579777434378668,0.01039347652716868,NA,sample,100,0.5
0.02,0.004164424518964467,0.019265106952122187,NA,sample,100,0.5
0.05,0.007422232929636417,0.041010278909255626,NA,sample,100,0.5
0.1,0.004441165048417246,0.05231871916014745,NA,sample,100,0.5
0.2,4.535903642967716e-5,0.05541795484862433,NA,sample,100,0.5
0.5,-0.004046004739768856,0.03569421948303083,NA,sample,100,0.5
1,-0.0067822273251490935,0.033435625428936,NA,sample,100,0.5
0.01,0.008027960403666701,0.07854398812023884,NA,corr,100,0.5
0.02,0.014173407261417728,0.08332926964699384,NA,corr,100,0.5
0.05,0.0032839543278868817,0.05701346767945635,NA,corr,100,0.5
0.1,-1.1324600385090369e-4,0.03889057195754415,NA,corr,100,0.5
0.2,0.0019914904867787153,0.027205690103659898,NA,corr,100,0.5
0.5,0.0017479581097900375,0.02625698041106304,NA,corr,100,0.5
1,-0.0055048442482931136,0.02959676323611489,NA,corr,100,0.5
0.01,0.013292696857982865,0.07521000717232873,NA,total,100,1
0.02,0.01590511943158183,0.06598833860945143,NA,total,100,1
0.05,0.0028936201094039112,0.052154476021247766,NA,total,100,1
0.1,3.0551030055871176e-5,0.07038902585970545,NA,total,100,1
0.2,0.008544540911040262,0.053152635846599565,NA,total,100,1
0.5,0.0017980952601329503,0.048331402625218484,NA,total,100,1
1,0.01942244401394785,0.05290647861533842,NA,total,100,1
0.01,0.002503365049753481,0.005977964856303558,NA,sample,100,1
0.02,0.0029555058856810036,0.011761847623006508,NA,sample,100,1
0.05,0.0014718058504188192,0.02379274824983608,NA,sample,100,1
0.1,0.00798455562118948,0.03840601258188067,NA,sample,100,1
0.2,0.0030233383388150797,0.04156708373783362,NA,sample,100,1
0.5,-0.005324479214981426,0.03434584666424911,NA,sample,100,1
1,0.012774078901962296,0.03639513711086756,NA,sample,100,1
0.01,0.010786075492018697,0.07053509594538043,NA,corr,100,1
0.02,0.012949843053209053,0.056552001630075746,NA,corr,100,1
0.05,0.0014156619083082235,0.03323140475217076,NA,corr,100,1
0.1,-0.007957413786216169,0.03820073110659854,NA,corr,100,1
0.2,0.0055180913960390186,0.026438082934718485,NA,corr,100,1
0.5,0.007108695474431139,0.02565180567727679,NA,corr,100,1
1,0.006638293771320762,0.027085175143444617,NA,corr,100,1
0.01,0.005502068533859531,0.03173318520036214,NA,total,100,10
0.02,0.0038325580013969796,0.025104675194375786,NA,total,100,10
0.05,0.00033819271090760814,0.030246986923484903,NA,total,100,10
0.1,0.00861782666839965,0.02580387604977299,NA,total,100,10
0.2,-0.005842143897304703,0.02840304193809982,NA,total,100,10
0.5,0.0016608257801839007,0.030236234322594535,NA,total,100,10
1,-5.8727078941278016e-5,0.05587607390682719,NA,total,100,10
0.01,0.001077592161673421,0.0014331682262300129,NA,sample,100,10
0.02,-0.0011472937479324091,0.0027098495706307096,NA,sample,100,10
0.05,-0.0035759046362437317,0.004522153736440625,NA,sample,100,10
0.1,1.635314788351356e-5,0.007324942504538067,NA,sample,100,10
0.2,0.0010693072389885423,0.015024627651132966,NA,sample,100,10
0.5,0.0023025797485382335,0.011789421354834078,NA,sample,100,10
1,0.0050888592929800745,0.027910099883567373,NA,sample,100,10
0.01,0.0044256706966394185,0.03150967384689802,NA,corr,100,10
0.02,0.004981625391581443,0.024460365977062696,NA,corr,100,10
0.05,0.003909850619644873,0.028305899471188254,NA,corr,100,10
0.1,0.008599816879554006,0.020630666884388745,NA,corr,100,10
0.2,-0.00691107065197876,0.02336289137342913,NA,corr,100,10
0.5,-6.552008780325637e-4,0.02896160274491084,NA,corr,100,10
1,-0.00515659320169901,0.03327974690349668,NA,corr,100,10
0.01,-0.003273725346419817,0.02696367060750425,NA,total,100,100
0.02,2.486380764426304e-4,0.026455874427220385,NA,total,100,100
0.05,-0.00213820484891584,0.021117941196988257,NA,total,100,100
0.1,0.0017082262478469344,0.035872638896676384,NA,total,100,100
0.2,-0.003494999351453485,0.026563313263344848,NA,total,100,100
0.5,-0.002525501255964643,0.026452918323536436,NA,total,100,100
1,0.007506520668640931,0.044661086281631006,NA,total,100,100
0.01,7.284741809293564e-4,0.0014749025925016785,NA,sample,100,100
0.02,-6.360062579554338e-4,0.0017144571351616592,NA,sample,100,100
0.05,-2.0844253278443255e-4,0.003921631167155633,NA,sample,100,100
0.1,9.85393678239851e-4,0.005389147751515351,NA,sample,100,100
0.2,-0.0013194632565173476,0.0063034200758257,NA,sample,100,100
0.5,-9.087460633656683e-4,0.012837519654413843,NA,sample,100,100
1,3.854623235719994e-5,0.019448918002003775,NA,sample,100,100
0.01,-0.004001639489701282,0.026570744175712493,NA,corr,100,100
0.02,8.827691688439239e-4,0.025785019708905448,NA,corr,100,100
0.05,-0.0019339716281805024,0.01937734653175282,NA,corr,100,100
0.1,7.165268390852372e-4,0.033977763904093475,NA,corr,100,100
0.2,-0.0021841303321269044,0.02597218170311636,NA,corr,100,100
0.5,-0.0016320898949144097,0.024220718544303858,NA,corr,100,100
1,0.007443124789293843,0.03240340754417766,NA,corr,100,100
0.01,0.00223175398856457,0.03393045640232665,NA,total,100,1000
0.02,0.018780631587658962,0.023476806386259534,NA,total,100,1000
0.05,-0.01228721877562355,0.027727306944429018,NA,total,100,1000
0.1,0.009535417379976808,0.03028266917405707,NA,total,100,1000
0.2,-0.0035016176249187555,0.02061508100950412,NA,total,100,1000
0.5,0.011523667910582102,0.019808923596530786,NA,total,100,1000
1,0.003045499790957079,0.02262905342135577,NA,total,100,1000
0.01,7.020417740670556e-4,0.0011815863909523463,NA,sample,100,1000
0.02,-7.138197915632036e-5,0.0022417982141994383,NA,sample,100,1000
0.05,0.0015587387840843316,0.002979931806753941,NA,sample,100,1000
0.1,0.0037701945146013265,0.006293624030694055,NA,sample,100,1000
0.2,1.7549028118854837e-4,0.004846487997560033,NA,sample,100,1000
0.5,0.001417548211185202,0.008510309724288961,NA,sample,100,1000
1,0.006130073745230801,0.01400231728564022,NA,sample,100,1000
0.01,0.0015277150267213903,0.03365058916078364,NA,corr,100,1000
0.02,0.01885084768432434,0.02264218779954027,NA,corr,100,1000
0.05,-0.013846681326328679,0.027706753074776328,NA,corr,100,1000
0.1,0.005760476004551697,0.029204803907611602,NA,corr,100,1000
0.2,-0.003674093541899381,0.018419010765521857,NA,corr,100,1000
0.5,0.010096820412670826,0.017062658444986424,NA,corr,100,1000
1,-0.003089457857623679,0.016923814667405015,NA,corr,100,1000
0.01,-0.012636147657814711,0.024553037446168716,NA,total,100,10000
0.02,0.0023604534094449985,0.022231914043943944,NA,total,100,10000
0.05,0.0013838446300705565,0.026496382979511086,NA,total,100,10000
0.1,-0.008881301183430224,0.030521522812559983,NA,total,100,10000
0.2,0.008366407172907833,0.022420361145034987,NA,total,100,10000
0.5,-0.0038123584703389965,0.01954142470025215,NA,total,100,10000
1,0.004407099490186137,0.032124150838109516,NA,total,100,10000
0.01,-1.2137165364628326e-4,8.806196476373827e-4,NA,sample,100,10000
0.02,-2.7394887148621483e-4,0.0017745723417188007,NA,sample,100,10000
0.05,0.0016204689422458902,0.0022058862041377087,NA,sample,100,10000
0.1,-6.82575102031563e-4,0.0038316424905536065,NA,sample,100,10000
0.2,0.002001099656598611,0.004733910714770047,NA,sample,100,10000
0.5,0.0018706434610709292,0.008978476055007388,NA,sample,100,10000
1,0.0028748786143143854,0.015291277869969713,NA,sample,100,10000
0.01,-0.012514792148627654,0.02483222260206726,NA,corr,100,10000
0.02,0.0026329453888828966,0.02286365472771948,NA,corr,100,10000
0.05,-2.388372424259945e-4,0.027002448557886433,NA,corr,100,10000
0.1,-0.008202080878330381,0.02978126587227576,NA,corr,100,10000
0.2,0.006364949457747996,0.02213778089926092,NA,corr,100,10000
0.5,-0.005697616785041326,0.018567277018150356,NA,corr,100,10000
1,0.001517902162106703,0.026335550711891958,NA,corr,100,10000
0.01,0.0018803778451351061,0.023793606355730176,NA,total,100,100000
0.02,7.848838068727068e-4,0.034794792908835866,NA,total,100,100000
0.05,-0.00719953279197911,0.024540925599255147,NA,total,100,100000
0.1,-0.009558098550358407,0.03211157637403985,NA,total,100,100000
0.2,0.006463265477835577,0.027801013779356263,NA,total,100,100000
0.5,-0.005376292249767799,0.01898116412719854,NA,total,100,100000
1,-0.0035643855832174606,0.03536088055450939,NA,total,100,100000
0.01,1.347946314514717e-4,0.0014521555162270248,NA,sample,100,100000
0.02,-1.1419815095184633e-4,0.00154517336579593,NA,sample,100,100000
0.05,-1.0190196337346223e-4,0.0028299254436033815,NA,sample,100,100000
0.1,4.5758034512711473e-4,0.004416589935259151,NA,sample,100,100000
0.2,3.736247588882036e-4,0.00523407765621543,NA,sample,100,100000
0.5,-0.005512001599320325,0.011585715887789531,NA,sample,100,100000
1,-0.007299506547292718,0.01589705892947616,NA,sample,100,100000
0.01,0.001744013287994584,0.023393630200575524,NA,corr,100,100000
0.02,8.99483379637934e-4,0.0344315820724742,NA,corr,100,100000
0.05,-0.0070992171760259765,0.024614411075150572,NA,corr,100,100000
0.1,-0.01001638920575146,0.03289856986651,NA,corr,100,100000
0.2,0.0060858994685505175,0.028508739720824773,NA,corr,100,100000
0.5,1.3470375129884176e-4,0.022642880637016295,NA,corr,100,100000
1,0.003736156208333897,0.03242377883836967,NA,corr,100,100000
0.01,0.03655140303599384,0.16522028579464698,NA,total,200,0.05
0.02,0.04338134650630426,0.15899968638886627,NA,total,200,0.05
0.05,0.019660219818854956,0.15584067413426012,NA,total,200,0.05
0.1,0.011401481473955937,0.12356284384463131,NA,total,200,0.05
0.2,-4.972340253455481e-4,0.08205516024910715,NA,total,200,0.05
0.5,-0.0037133812051946173,0.03103477928833273,NA,total,200,0.05
1,-0.012115569779136273,0.04816393319873987,NA,total,200,0.05
0.01,0.02757023837404294,0.06842863700270521,NA,sample,200,0.05
0.02,0.03350683566183781,0.09817278851557613,NA,sample,200,0.05
0.05,0.0209573242087069,0.1189726347199003,NA,sample,200,0.05
0.1,0.011741481884168055,0.10757756393309284,NA,sample,200,0.05
0.2,0.0033613534346457375,0.07206219190730877,NA,sample,200,0.05
0.5,-0.002044544080925406,0.036923591133069825,NA,sample,200,0.05
1,-0.009521189777993,0.0343543894584713,NA,sample,200,0.05
0.01,0.008980834604083998,0.10315328313921203,NA,corr,200,0.05
0.02,0.009873533856031156,0.06621041054706278,NA,corr,200,0.05
0.05,-0.0012967340681281057,0.04354351981381673,NA,corr,200,0.05
0.1,-0.00034722558184635527,0.03350111077992017,NA,corr,200,0.05
0.2,-0.003858680777506349,0.027745209923356,NA,corr,200,0.05
0.5,-0.0016775277112530305,0.024721569010677256,NA,corr,200,0.05
1,-0.002595345310589761,0.023513895433645505,NA,corr,200,0.05
0.01,0.02422173178719903,0.14909358530075661,NA,total,200,0.1
0.02,0.017029766412522306,0.13402006690340115,NA,total,200,0.1
0.05,0.01741043212477244,0.12037909014560816,NA,total,200,0.1
0.1,0.010595726797631164,0.11163374745371644,NA,total,200,0.1
0.2,-0.004529349926385458,0.07290658516094689,NA,total,200,0.1
0.5,-0.012981787303655104,0.02912145817992413,NA,total,200,0.1
1,0.006383681391687384,0.05918906668013354,NA,total,200,0.1
0.01,0.015900533957816,0.04235073091178806,NA,sample,200,0.1
0.02,0.020609549259088113,0.06686241316993734,NA,sample,200,0.1
0.05,0.015584968376880443,0.09139334037251244,NA,sample,200,0.1
0.1,0.008198994298543927,0.09207943486973769,NA,sample,200,0.1
0.2,3.14752070881488e-4,0.06741880508637746,NA,sample,200,0.1
0.5,-0.009770282801962274,0.028174213832621583,NA,sample,200,0.1
1,0.007571983777972109,0.026898048858527267,NA,sample,200,0.1
0.01,0.008323327501386833,0.11103648131842588,NA,corr,200,0.1
0.02,-0.003577349192953478,0.07346953431217422,NA,corr,200,0.1
0.05,0.0018260629288961684,0.03877801626218376,NA,corr,200,0.1
0.1,0.0023979172396811736,0.029338125002909974,NA,corr,200,0.1
0.2,-0.004841802765200261,0.02003133553514251,NA,corr,200,0.1
0.5,-0.0032183614425417744,0.027989787738995967,NA,corr,200,0.1
1,-0.001200755678367765,0.037586267546700754,NA,corr,200,0.1
0.01,0.01746318150458443,0.10852470718598221,NA,total,200,0.2
0.02,0.0019344568966034221,0.10968337418631756,NA,total,200,0.2
0.05,0.01623290874625522,0.10125077326342734,NA,total,200,0.2
0.1,-0.0017404804108813669,0.10505449808717837,NA,total,200,0.2
0.2,-0.0037305842425230484,0.0726058768816874,NA,total,200,0.2
0.5,-0.006929231757867767,0.033293845441176015,NA,total,200,0.2
1,-0.009636633490934174,0.042331672804099656,NA,total,200,0.2
0.01,0.009519056978973097,0.025339565434866023,NA,sample,200,0.2
0.02,0.012185254983350999,0.042951632477279275,NA,sample,200,0.2
0.05,0.011508640195092033,0.06791526647622269,NA,sample,200,0.2
0.1,0.005273798150546703,0.07531020445010299,NA,sample,200,0.2
0.2,0.0020560963175400965,0.062257242522633156,NA,sample,200,0.2
0.5,-0.0076469293781085785,0.03185266073016834,NA,sample,200,0.2
1,-0.006070403256037555,0.02401585011306889,NA,sample,200,0.2
0.01,0.007945431215134156,0.08612653413113851,NA,corr,200,0.2
0.02,-0.010251045630593047,0.07469264769272461,NA,corr,200,0.2
0.05,0.00472327557743747,0.04236757590112327,NA,corr,200,0.2
0.1,-0.007009125971682104,0.03679661498372819,NA,corr,200,0.2
0.2,-0.005777710342580514,0.03393514368926303,NA,corr,200,0.2
0.5,7.205198106158586e-4,0.021425982949553595,NA,corr,200,0.2
1,-0.003572047426679907,0.029482415866884926,NA,corr,200,0.2
0.01,0.023803936029914565,0.09121449835629769,NA,total,200,0.5
0.02,0.0032412278465673303,0.08477165690451051,NA,total,200,0.5
0.05,0.012546178607989502,0.0739651941112882,NA,total,200,0.5
0.1,0.007498611485746619,0.07367659367359797,NA,total,200,0.5
0.2,1.4803587352785995e-5,0.04471331195234909,NA,total,200,0.5
0.5,-0.0037443021706807093,0.04069816871103596,NA,total,200,0.5
1,0.009772636932935976,0.047483103613553644,NA,total,200,0.5
0.01,0.003894172218073155,0.01332224741769659,NA,sample,200,0.5
0.02,0.004614806501019544,0.0218187477689673,NA,sample,200,0.5
0.05,0.007872386485356066,0.040823644336462774,NA,sample,200,0.5
0.1,0.004878814641273566,0.052066581323335255,NA,sample,200,0.5
0.2,-0.0025853558588139636,0.05006334030358967,NA,sample,200,0.5
0.5,-0.00293666115666637,0.024860599421535727,NA,sample,200,0.5
1,0.0027804679334490537,0.025111154536154676,NA,sample,200,0.5
0.01,0.019906036915524946,0.07970244716052675,NA,corr,200,0.5
0.02,-0.001374331617360304,0.065929978059447,NA,corr,200,0.5
0.05,0.004673400798208523,0.03994693755912089,NA,corr,200,0.5
0.1,0.0026141265041071246,0.029481963326246943,NA,corr,200,0.5
0.2,0.0026035493469811094,0.020895697263792954,NA,corr,200,0.5
0.5,-8.039573613838987e-4,0.028414899629276142,NA,corr,200,0.5
1,0.006984161913864027,0.031049276983143814,NA,corr,200,0.5
0.01,0.008786703618358234,0.06652703592757951,NA,total,200,1
0.02,0.003010548430757669,0.06662233558257649,NA,total,200,1
0.05,0.006874866572364905,0.07299493064699988,NA,total,200,1
0.1,-0.0016145358432090695,0.0626997256288837,NA,total,200,1
0.2,-0.007642645507578738,0.05629936008257236,NA,total,200,1
0.5,0.005933059103523417,0.03545147150107086,NA,total,200,1
1,0.01087152792900694,0.050872672828589934,NA,total,200,1
0.01,0.0017836506726107064,0.008242960171974166,NA,sample,200,1
0.02,0.005304238009702043,0.013378660685558649,NA,sample,200,1
0.05,0.007262626331526298,0.027281505167344657,NA,sample,200,1
0.1,0.0011324700757813363,0.03868500376221231,NA,sample,200,1
0.2,6.834106213994278e-4,0.04149138291196711,NA,sample,200,1
0.5,-0.0029560069098369585,0.024408828254183997,NA,sample,200,1
1,0.010121985217195009,0.03280587293630051,NA,sample,200,1
0.01,0.0070035476680033,0.06006261676682301,NA,corr,200,1
0.02,-0.0022969279267117467,0.055499716506529746,NA,corr,200,1
0.05,-3.8782218484390154e-4,0.05279976208657391,NA,corr,200,1
0.1,-0.002749764268456525,0.032896083302510704,NA,corr,200,1
0.2,-0.008315691555602052,0.02931818975842721,NA,corr,200,1
0.5,0.00890360624708612,0.02490397479457613,NA,corr,200,1
1,7.425753873843464e-4,0.03436680775024381,NA,corr,200,1
0.01,0.0027063857600247133,0.03327173287942872,NA,total,200,10
0.02,0.007577535231809925,0.03397864323069454,NA,total,200,10
0.05,0.005091824885470293,0.03739276611438331,NA,total,200,10
0.1,-0.004387937163729288,0.034391414354280024,NA,total,200,10
0.2,0.0018786726040762331,0.028067302223075845,NA,total,200,10
0.5,0.005287543492811073,0.027350910164891606,NA,total,200,10
1,-0.004574971686819636,0.03149107247281947,NA,total,200,10
0.01,0.0018970090217444642,0.001524172098873294,NA,sample,200,10
0.02,-3.252630841770417e-4,0.0026454974271916776,NA,sample,200,10
0.05,0.001191517086642138,0.006947170748320117,NA,sample,200,10
0.1,-0.0032688533510855378,0.00854162345957771,NA,sample,200,10
0.2,0.0031409366663696352,0.013043301953341352,NA,sample,200,10
0.5,2.538352886118832e-4,0.016677219790912613,NA,sample,200,10
1,-0.009276663394564249,0.016175973405135022,NA,sample,200,10
0.01,8.079250404170003e-4,0.03239775171893508,NA,corr,200,10
0.02,0.007902229737952293,0.033277864677057005,NA,corr,200,10
0.05,0.0038978530261827332,0.03318431961405992,NA,corr,200,10
0.1,-0.001118289137484884,0.029944442753684974,NA,corr,200,10
0.2,-0.0012652608403675035,0.01928479604120671,NA,corr,200,10
0.5,0.005022823567122918,0.02277099925732141,NA,corr,200,10
1,0.004675981090783048,0.023985811871516594,NA,corr,200,10
0.01,0.029160435451291742,0.12372278541308424,NA,total,500,0.05
0.02,0.020320351575916176,0.1243429635976719,NA,total,500,0.05
0.05,0.015002312163223048,0.121361148782539,NA,total,500,0.05
0.1,0.006097497155964458,0.09192256723894814,NA,total,500,0.05
0.2,-0.003943111458655931,0.048362609773033895,NA,total,500,0.05
0.5,-0.009370121014117924,0.037337183589798775,NA,total,500,0.05
1,0.001353022217774732,0.04268651631991726,NA,total,500,0.05
0.01,0.022425811275529183,0.06905696791470899,NA,sample,500,0.05
0.02,0.019023083343860655,0.08989022924927109,NA,sample,500,0.05
0.05,0.0124607034657695,0.09681523573045332,NA,sample,500,0.05
0.1,0.00806125452642133,0.0798163010755837,NA,sample,500,0.05
0.2,0.0012629930738415876,0.05185101189446454,NA,sample,500,0.05
0.5,-0.0031428369866882185,0.015885587259899664,NA,sample,500,0.05
1,0.001906362640302997,0.025706096996895647,NA,sample,500,0.05
