"nch","z","D","x","S","babs","pabs","sig_abs","zmax","pz","sig_z"
10,100,0.01,10,10,0.0249085863479075,"N_ch",FALSE,0.0101618477533539,"S",FALSE
10,100,0.02,14.142135623731,10,0.00485868543541083,"k_on",FALSE,0.00250000814319403,"baseline",FALSE
10,100,0.05,22.3606797749979,10,0.0413575077463075,"N_ch",FALSE,0.0142449947804002,"k_on",FALSE
10,100,0.1,31.6227766016838,10,0.0490218265826894,"k_on",FALSE,0.0258027295921629,"baseline",TRUE
10,100,0.2,44.7213595499958,10,0.0239511069656389,"N_ch",FALSE,0.0201003900774413,"k_off",TRUE
10,100,0.5,70.7106781186548,10,0.0504475438312396,"N_ch",FALSE,0.0176534730577162,"i",FALSE
10,100,1,100,10,0.0372023945825169,"N_ch",FALSE,0.0130314293516505,"S",FALSE
10,1000,0.01,100,100,0.0302658877100466,"k_off",FALSE,0.0130441829070819,"k_off",FALSE
10,1000,0.02,141.42135623731,100,0.305060705422295,"N_ch",FALSE,0.0179629032425723,"N_ch",FALSE
10,1000,0.05,223.606797749979,100,0.087189721319418,"i",FALSE,0.0196068176464226,"baseline",FALSE
10,1000,0.1,316.227766016838,100,0.398538644028923,"N_ch",FALSE,0.0233372363209314,"i",FALSE
10,1000,0.2,447.213595499958,100,0.1130831338258,"N_ch",FALSE,0.0124257681870331,"baseline",FALSE
10,1000,0.5,707.106781186548,100,0.431279516195097,"i",TRUE,0.0228065671393583,"i",TRUE
10,1000,1,1000,100,0.0340292453260337,"i",FALSE,0.0105919661893718,"k_off",FALSE
10,10000,0.01,1000,1000,1.67730719448666,"N_ch",FALSE,0.0173450110125012,"k_on",FALSE
10,10000,0.02,1414.2135623731,1000,1.27875923361008,"N_ch",FALSE,0.00857681420060393,"N_ch",FALSE
10,10000,0.05,2236.06797749979,1000,1.69368924885381,"i",FALSE,0.0112726005546482,"i",FALSE
10,10000,0.1,3162.27766016838,1000,2.29716998546573,"i",FALSE,0.0213246551257516,"k_on",FALSE
10,10000,0.2,4472.13595499958,1000,3.79920073916528,"N_ch",FALSE,0.024530839018204,"baseline",TRUE
10,10000,0.5,7071.06781186548,1000,0.814928094855467,"i",FALSE,0.00869797070450495,"k_off",FALSE
10,10000,1,10000,1000,3.50804326040813,"i",FALSE,0.0161374928775473,"i",FALSE
20,0.05,0.01,0.01,0.005,0.00410150908624541,"k_on",FALSE,0.172344833863183,"baseline",TRUE
20,0.05,0.02,0.014142135623731,0.005,0.00564564613297605,"k_on",FALSE,0.140356938569869,"baseline",TRUE
20,0.05,0.05,0.0223606797749979,0.005,0.00742514931744283,"S",TRUE,0.112608506609939,"S",TRUE
20,0.05,0.1,0.0316227766016838,0.005,0.0126745368643446,"S",TRUE,0.121202427310801,"S",TRUE
20,0.05,0.2,0.0447213595499958,0.005,0.0285555980550964,"S",TRUE,0.175028537584361,"S",TRUE
20,0.05,0.5,0.0707106781186548,0.005,0.0386815884975031,"N_ch",TRUE,0.109337650226464,"i",TRUE
20,0.05,1,0.1,0.005,0.0396319203730535,"N_ch",TRUE,0.0944715790634382,"N_ch",TRUE
20,0.1,0.01,0.02,0.01,0.0086943904918923,"k_on",TRUE,0.146148736594865,"baseline",TRUE
20,0.1,0.02,0.0282842712474619,0.01,0.00375597138992867,"baseline",TRUE,0.139492175240754,"baseline",TRUE
20,0.1,0.05,0.0447213595499958,0.01,0.00429731190545119,"S",TRUE,0.0951131797158184,"baseline",TRUE
20,0.1,0.1,0.0632455532033676,0.01,0.0092201983492693,"S",TRUE,0.0926519927946225,"S",TRUE
20,0.1,0.2,0.0894427190999916,0.01,0.0240564820161344,"S",TRUE,0.153169023968391,"S",TRUE
20,0.1,0.5,0.14142135623731,0.01,0.0327320569800161,"S",TRUE,0.116279962362504,"S",TRUE
20,0.1,1,0.2,0.01,0.0311227385284421,"N_ch",TRUE,0.073119511961715,"N_ch",TRUE
20,0.2,0.01,0.04,0.02,0.00477296742051309,"baseline",TRUE,0.125526941132113,"baseline",TRUE
