nch,z,interval,param,v,b,se
5,0.1,0.01,k_on,-0.1398668779880708,-0.03041498324912778,0.21720462999101087
5,0.1,0.01,k_off,0.042001114591047835,-0.0023462846196545,0.20560205484047853
5,0.1,0.01,i,0.09322554019487411,0.01323974216509746,0.18179084427268993
5,0.1,0.01,S,-0.0561441862590834,-0.00133783347320771,0.020571691626759817
5,0.1,0.01,baseline,0.2377890648654437,0.00549734082717368,0.023767863031219697
5,0.1,0.01,N_ch,0.030902485427828516,-0.00443960522474231,0.21048225601553125
5,0.1,0.02,k_on,-0.09508066021412812,-0.0205300462700516,0.22067297799940974
5,0.1,0.02,k_off,0.03832657835431791,5.3510010608899e-4,0.2050620680620063
5,0.1,0.02,i,0.059384473323998266,0.00819608312435042,0.18242742326338804
5,0.1,0.02,S,-0.06070483746070676,-0.00208586326768222,0.030579576637588365
5,0.1,0.02,baseline,0.19679527457041976,0.00456028748811077,0.023838832318892007
5,0.1,0.02,N_ch,0.01860119974552686,-0.00153747613464795,0.21820037324135483
5,0.1,0.05,k_on,-0.05117344030662017,-0.00876842255058188,0.2337251148783606
5,0.1,0.05,k_off,0.08316810602890551,0.01144734631800409,0.20717903128375018
5,0.1,0.05,i,0.0316925430662181,0.00432314200198286,0.18524729308081864
5,0.1,0.05,S,-0.14216512219352578,-0.00825071133777538,0.05434779965757271
5,0.1,0.05,baseline,0.15176801696695527,0.00348135471797044,0.02387593975863275
5,0.1,0.05,N_ch,-0.010191930133897738,3.575148677221153e-6,0.24116547843988326
5,0.1,0.1,k_on,-0.03251848819614876,-0.00649929944481912,0.2579132958898164
5,0.1,0.1,k_off,0.0697283206420174,0.01452619488632057,0.21010364588773955
5,0.1,0.1,i,0.005460633490908487,-0.00299380635272812,0.18945924536047984
5,0.1,0.1,S,-0.16500483724043968,-0.01437159784492163,0.08714390663502332
5,0.1,0.1,baseline,0.10392005579832006,0.00255423182200397,0.02407876710555796
5,0.1,0.1,N_ch,0.027748577673543898,0.01077871199464604,0.2736087779526695
5,0.1,0.2,k_on,0.004649534501128469,-2.259290016997e-4,0.32401520788212057
5,0.1,0.2,k_off,0.09592395756102692,0.02373551885124975,0.22129352464915653
5,0.1,0.2,i,-0.010308071820574999,-0.0084636513776027,0.20397992396552322
5,0.1,0.2,S,-0.20759912557163282,-0.0280873880452009,0.1387552938297511
5,0.1,0.2,baseline,0.055342512568338,0.00157547527507114,0.02434335082653208
5,0.1,0.2,N_ch,0.043441907928694665,0.01864396523760373,0.3504312012027388
5,0.1,0.5,k_on,-0.010483495285440514,-0.03169699313796306,0.4819567851287268
5,0.1,0.5,k_off,0.1311263568876177,0.03904964917916536,0.24077572411417283
5,0.1,0.5,i,-0.0739880556629196,-0.03264919605565422,0.25046580068518526
5,0.1,0.5,S,-0.19586324364215152,-0.04364545591813483,0.2521352672476742
5,0.1,0.5,baseline,0.03532292068259901,0.00117975550557535,0.02539455294856655
5,0.1,0.5,N_ch,0.11695158371422709,0.06957585668248838,0.5088077536207847
5,0.1,1,k_on,-0.019896423692564835,-0.04598215009844041,0.5653403195647514
5,0.1,1,k_off,0.1746717866192047,0.03958188061756441,0.2337928565335734
5,0.1,1,i,-0.0898031924061925,-0.04027036921121054,0.31914752361935195
5,0.1,1,S,-0.11355141429937718,-0.03836151234374179,0.39819051882449574
5,0.1,1,baseline,0.011531040319143926,3.4069641724971e-4,0.027254048670658455
5,0.1,1,N_ch,0.12005136328685873,0.08413212196044072,0.5871965683430079
5,1,0.01,k_on,-0.024228465828554622,-0.00339164065103978,0.4340256978433261
5,1,0.01,k_off,-0.003032695835792149,-0.00553943384810683,0.25900000956917796
5,1,0.01,i,0.02490189875751317,0.00999369539551906,0.2827618906463085
5,1,0.01,S,-0.02087620811139862,-4.8940808180502e-4,0.019821799703924718
5,1,0.01,baseline,0.11210108132682765,0.00787830619146009,0.07437746859620721
5,1,0.01,N_ch,-0.02672686433093476,-0.01103390085443976,0.4895338304614918
5,1,0.02,k_on,-0.004528719395016506,0.00389290525325735,0.44446192278833446
5,1,0.02,k_off,0.0033662010620906582,-0.00314371007568609,0.25918788001214194
5,1,0.02,i,0.032331444831166734,0.01090108637076553,0.28654221061478713
5,1,0.02,S,-0.011545688925244418,-5.0875752431463e-4,0.028577680176696988
5,1,0.02,baseline,0.09123867893633625,0.00647179794380753,0.07443296995268582
5,1,0.02,N_ch,-0.021940780378696276,-0.01388042564220412,0.5018975322627159
5,1,0.05,k_on,0.0023165785386420473,0.00864689875033009,0.46819013216461325
5,1,0.05,k_off,0.018050966726382258,3.677660552853016e-5,0.26108880078314595
5,1,0.05,i,0.04204162303065399,0.01390041297378425,0.2964108319652243
5,1,0.05,S,-0.02127344002123647,-0.00155643592088654,0.04762177890392588
5,1,0.05,baseline,0.09053546595184522,0.00630008039647461,0.07469437300394623
5,1,0.05,N_ch,-0.025392697946093487,-0.01823711076680757,0.5318223805286578
5,1,0.1,k_on,-0.006661410669693068,1.7291146179428e-4,0.49085726213564884
5,1,0.1,k_off,0.003492817414138698,-9.9807174483108e-4,0.2621137396554697
5,1,0.1,i,0.04318377161209612,0.00995386996850438,0.3080945231574855
5,1,0.1,S,-0.03877262178494159,-0.00341458507294503,0.07258437005043379
5,1,0.1,baseline,0.06605306210193025,0.00481219569709136,0.07498376498007459
5,1,0.1,N_ch,-0.002177610524030857,-0.00848676766691952,0.560012987051545
5,1,0.2,k_on,0.01640313577114276,0.01768833606250583,0.5366468584351333
5,1,0.2,k_off,0.024784390662461887,0.00297073106486388,0.2656122939176305
5,1,0.2,i,0.05080250598463798,0.0188357075450539,0.32975024335887987
5,1,0.2,S,-0.06225477015878961,-0.00892985350785796,0.11521842601669717
5,1,0.2,baseline,0.055882011587393206,0.00402045915372573,0.07550781992862858
5,1,0.2,N_ch,-0.023288006168449282,-0.02623299123229181,0.61220777964307
5,1,0.5,k_on,-0.01580925396476918,-0.00195930499598293,0.6053171820105038
5,1,0.5,k_off,0.032439115918389105,0.00673208902420247,0.2676707352633606
5,1,0.5,i,0.006491695881848357,0.00703349735916953,0.37206761273341743
5,1,0.5,S,-0.08652196129176642,-0.01918650885216986,0.22030297051297248
5,1,0.5,baseline,0.045581722435369246,0.00313474301542241,0.07741887308259635
5,1,0.5,N_ch,-0.012606373623635925,-0.00428875335371427,0.689809657131264
5,1,1,k_on,0.01877914597274293,0.01131276178718938,0.6678491616377781
5,1,1,k_off,0.03036597593246821,0.00725017433730819,0.2672652785492035
5,1,1,i,0.012616195101538975,0.00829275544387429,0.4372025800537883
5,1,1,S,-0.07282948284898715,-0.02575379694183515,0.35689281950416785
5,1,1,baseline,0.04375139819306341,0.00354185988411558,0.08042758025866804
5,1,1,N_ch,0.005764459163309726,-0.00917479096275191,0.7667069154893661
10,0.05,0.01,k_on,-0.037297707409885784,-0.00851758176037927,0.23150444091697708
10,0.05,0.01,k_off,0.056064808312489826,0.00598455134956116,0.15822669853627205
10,0.05,0.01,i,0.029926606308978483,3.763850602088743e-6,0.1543144660871964
10,0.05,0.01,S,-0.045666168275803595,-0.00115657859759565,0.021539831375191172
10,0.05,0.01,baseline,0.20347104702052718,0.00358091772182242,0.017964960045516103
10,0.05,0.01,N_ch,0.015230261070452639,0.00594460005469676,0.2423282804278431
10,0.05,0.02,k_on,-0.05629946155912246,-0.01188278468769731,0.24144212838307108
10,0.05,0.02,k_off,0.05705854200344933,0.0057960257327786,0.159133579206343
10,0.05,0.02,i,0.013048660317825263,3.3155302472219e-4,0.15579146034139854
10,0.05,0.02,S,-0.06961947335748116,-0.00249941517775427,0.033061966535274184
10,0.05,0.02,baseline,0.18867854786589985,0.00331131424000483,0.017941300062125933
10,0.05,0.02,N_ch,-0.0010854101875960726,0.00592962998425439,0.25397900579934574
10,0.05,0.05,k_on,-0.026224532099735576,-0.0077846881184971,0.2886447364680247
10,0.05,0.05,k_off,0.07678547354766604,0.01234118353561398,0.1651266523537724
10,0.05,0.05,i,-0.0067163915758149395,-0.00535984339590804,0.1645788183065272
10,0.05,0.05,S,-0.10615228695526485,-0.0066499482378307,0.06149955074222348
10,0.05,0.05,baseline,0.12046998615583628,0.0021480126981211,0.018019797296929287
10,0.05,0.05,N_ch,0.01815884537208437,0.01337422678383395,0.3046987373578833
10,0.05,0.1,k_on,-0.014112884799310457,-0.00814547044220064,0.33012329204531965
10,0.05,0.1,k_off,0.07170186337458946,0.01410899042303823,0.1711872804121502
10,0.05,0.1,i,-0.013120833686242672,-0.00714401222055458,0.17279837235551274
10,0.05,0.1,S,-0.17973061984659655,-0.01734400058385299,0.09821378366900595
10,0.05,0.1,baseline,0.07248681067706099,0.00143450653080549,0.01812934851579008
10,0.05,0.1,N_ch,0.033663369988534614,0.01729290136380654,0.34572912158432434
10,0.05,0.2,k_on,0.005205755853809668,-0.00840254254257987,0.37903998800976607
10,0.05,0.2,k_off,0.07983607468342466,0.01861164031195759,0.1799691350481998
10,0.05,0.2,i,-0.03554480900988344,-0.01301253685830697,0.18623177025507576
10,0.05,0.2,S,-0.2065346951314731,-0.03039075046021358,0.15315709637769814
10,0.05,0.2,baseline,0.050087553714632214,0.00114662153113819,0.018320082809131895
10,0.05,0.2,N_ch,0.05864225855030303,0.02643558831050222,0.3927378986096913
10,0.05,0.5,k_on,-0.025141105212878545,-0.03636657448716272,0.426775748709396
10,0.05,0.5,k_off,0.08165886851595436,0.02240722544803669,0.18235814948193066
10,0.05,0.5,i,-0.10295673023899343,-0.03299050910875638,0.21306058703210928
10,0.05,0.5,S,-0.1677193773652626,-0.04211469769647398,0.2732470201815982
10,0.05,0.5,baseline,0.009969695210160646,4.0065397506339e-4,0.019234646625525775
10,0.05,0.5,N_ch,0.11979067057569381,0.06431539547687909,0.43275965171127206
10,0.05,1,k_on,-0.021298109952521904,-0.04135839407236696,0.47295658853405204
10,0.05,1,k_off,0.15311646422920422,0.0281673423065306,0.17812005350099697
10,0.05,1,i,-0.090359595703568,-0.03775867427722247,0.2766562901694196
10,0.05,1,S,-0.06687739664471544,-0.02515949098144221,0.42219418054733865
10,0.05,1,baseline,0.004278571001215245,8.033129289929636e-5,0.02063746595061661
10,0.05,1,N_ch,0.12376335102796454,0.07391868893366875,0.49139964881903375
10,0.1,0.01,k_on,-0.03430537115960454,-0.00972193084521132,0.2785342344935865
10,0.1,0.01,k_off,0.026806523966259096,0.00372085622995482,0.16600061980100894
10,0.1,0.01,i,0.00496045680428818,-0.00153213494975567,0.1675464620936039
10,0.1,0.01,S,-0.04976534153397741,-0.00109650012587131,0.020968849381073584
10,0.1,0.01,baseline,0.19504702235109062,0.00484291145250533,0.02530235855752641
10,0.1,0.01,N_ch,0.013465635593329778,0.00798244640165506,0.2953588974588571
10,0.1,0.02,k_on,-0.032735417824257006,-0.01059723572196673,0.2866418396610388
10,0.1,0.02,k_off,0.03809567640031654,0.00490033332342493,0.1666922158888816
10,0.1,0.02,i,0.030869265475497405,-4.287861879852183e-5,0.16920567135021183
10,0.1,0.02,S,-0.03694121567006321,-0.00137085295378767,0.031611787339060726
10,0.1,0.02,baseline,0.16716890000573836,0.00414158031693969,0.0253404623526912
10,0.1,0.02,N_ch,0.021144392219868968,0.00799417692045109,0.3048296115026794
10,0.1,0.05,k_on,-0.010266572629336376,-0.00317993443316688,0.3199147048663695
10,0.1,0.05,k_off,0.06408105772725993,0.00933512600737218,0.1710896857289044
10,0.1,0.05,i,0.012982727241871807,-0.00128941995804069,0.1763981341737891
10,0.1,0.05,S,-0.09943707097836631,-0.00605571128452246,0.05769255203053155
10,0.1,0.05,baseline,0.12064086423883288,0.00300036985551791,0.025426499594181067
10,0.1,0.05,N_ch,0.006542475057102343,0.00616489107913999,0.34000082113950975
10,0.1,0.1,k_on,-0.0030288832452876994,-2.7029958210608e-4,0.342489363453854
10,0.1,0.1,k_off,0.06824375152352712,0.0102584473462014,0.17438887490870905
10,0.1,0.1,i,0.005936232033390373,-8.0546526530162e-4,0.18119903024479142
10,0.1,0.1,S,-0.1257541184812506,-0.01199715825579312,0.09302814748930933
10,0.1,0.1,baseline,0.08615508624859977,0.00220991430737604,0.025557209169931094
10,0.1,0.1,N_ch,-4.2197614911108905e-5,0.00406662128145343,0.360875893860929
10,0.1,0.2,k_on,-0.012886994870891524,-0.01088145634428252,0.3861424428248213
10,0.1,0.2,k_off,0.07871710631643118,0.0159345314332424,0.18178255385675077
