model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_CO,0,on,Log10,10,1
scheme_CO,1,off,Log10,100,2
scheme_CO,2,unitary_current,Log10,1,0
scheme_CO,3,Current_Noise,Linear,0,0
scheme_CO,4,Current_Baseline,Linear,0,0
scheme_CO,5,Num_ch_mean,Log10,1000,3
