model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_CCO,0,kon,Log10,6.73,0.8280150642239769
scheme_CCO,1,koff,Log10,166,2.220108088040055
scheme_CCO,2,gating_on,Log10,743,2.870988813760575
scheme_CCO,3,gating_off,Log10,45.3,1.656098202012832
scheme_CCO,4,unitary_current,Log10,1,0
scheme_CCO,5,Current_Noise,Log10,0.001,-3
scheme_CCO,6,Current_Baseline,Log10,1,0
scheme_CCO,7,Num_ch_mean,Log10,5000,3.698970004336019
