i_step,patch_current
0,-3.7432136645900305
1,-2.04833406008736
2,0.8693856485602021
3,0.8296404595927231
4,1.94160416615086
5,1.48115023570529
6,-0.67775510212191
7,-0.164715411895114
8,-0.0246164291045315
9,0.15365402769417
10,1.00117627752264
11,1.27921060275308
12,1.52343180914362
13,-0.0068541135437301
14,0.431084862130396
15,0.687546818519422
16,1.9486954095857898
17,0.0727654365120117
18,-0.8548244371348401
19,-0.612325312946386
20,-0.968566275651716
21,0.522169386817646
22,-1.05054746722889
23,-0.8520387615500559
24,0.8451135392353029
25,-0.9751742344828469
26,0.45329458544606693
27,-0.0183900081276053
28,1.45534314166099
29,1.55516704467578
30,0.432673168342733
31,-0.20414414880435802
32,0.430476153422635
33,0.44187948032169794
34,0.0913894717004538
35,-0.468460555865366
36,2.38117379952832
37,1.32654624315196
38,1.6461874738788402
39,0.474251556670307
40,0.613046163658556
41,-0.450759386835929
42,-0.246180634916121
43,0.12022456618818102
44,0.202571753989685
45,0.42667479385574403
46,0.4216512554631
47,-1.30015881971637
48,-1.82196960096283
49,-0.572456521491732
50,-1.15090521423886
51,1.12115053347699
52,2.14404459423632
53,1.84266181098175
54,1.59702541865315
55,-1.41056671629921
56,-0.257200041790367
57,0.049668982975478504
58,-0.745856306226212
59,0.204565782473684
60,-0.395528782377738
61,-0.44200958293977693
62,-0.505487286614102
63,-0.64237482350517
64,-1.76944598352037
65,-2.32704922228284
66,-0.9321007831274609
67,-0.786806439004045
68,-0.663830740401355
69,-0.145853711772375
70,-1.27059140377519
71,-1.43758270734073
72,-1.07362176240203
73,-2.889759407650477
74,-1.2385773113948
74,1.1541583395622868
75,0.4578663234481901
75,-1.58498995363249
76,-0.8220581661393362
77,-4.0820792210134424
78,-0.5909561873699998
79,-4.379322325181285
80,-5.96056195039382
81,-3.74309215912897
82,-7.32236351000981
83,-7.72073375704893
84,-6.56310362521888
85,-7.06816520932418
86,-4.87201906386441
87,-4.14292261247638
88,-3.51166351286198
89,-5.39282739527619
90,-2.61591071873175
91,-4.40938199148753
92,-6.38589997749805
93,-3.95433183026016
94,-2.69505932252849
95,-3.68004955904934
96,-1.16854197284739
97,-3.00408930366128
98,-2.08340136598165
99,-1.7110115887035
100,-0.585547581457366
101,-0.817146538236358
102,-0.308573235694577
103,0.799318027546926
104,-0.484132869307161
105,-0.5198529201225
106,1.30721202761251
107,0.288297785997899
108,2.63770626713677
109,0.363023677784111
110,-1.32106352326108
111,-0.457009143292662
112,0.50157771650017
113,0.193249449674704
114,0.36961996634756505
115,-0.778508850564943
116,-0.380392976540889
117,-0.1977746030977
