i_step,patch_current
0,0.7175218064109704
1,-1.120877556869954
2,-1.287413554873293
3,-1.183895724905606
4,-1.069491772582039
5,-2.685703906026922
6,0.06327618561244663
7,-1.359425680291821
8,-2.060258443864368
9,-0.8547528095118493
10,0.3467603984486159
11,1.064601488952554
12,-0.1283221092495515
13,-1.872401850959977
14,-0.9112288647589823
15,-0.6542889861841279
16,0.8366717393534233
17,-1.138759717899703
18,-2.200289532047548
19,-1.471468823073772
20,-1.120797107356089
21,-0.9673139613840339
22,1.113567046933604
23,-2.863595529582375
24,-1.78857575994145
25,-2.988848533686131
26,-3.897509581315675
27,-3.014489691367226
28,-2.289260901012775
29,-0.8759851573719897
30,-0.9322023475138403
31,-1.666761697331795
32,-0.881585477969191
33,-0.4147998360661586
34,-0.8110194607849566
35,0.38983187591748
36,0.9558344043540596
37,0.006711306075616985
38,3.536694080585025
39,2.388440240689901
40,2.216136232346717
41,-2.282637461013964
42,-3.415030468289093
43,-5.168958995887099
44,-4.944216015437598
45,-1.61978077647346
46,-1.148050381668428
47,-2.27968372090738
48,-0.8433850424154666
49,1.092365645110382
50,0.3536545051476914
51,0.5435150682649257
52,1.920445920156366
53,-0.7982361474320231
54,-0.2044922933131205
55,2.499526662181387
56,2.460211198247938
57,0.6914752634628912
58,-0.8195777485482884
59,-0.02339266590933986
60,0.504823342480234
61,-1.35034971171353
62,-0.8281821851018634
63,1.772218611283679
64,-0.02197158751330186
65,-0.04066770087450955
66,-0.1527852118957856
67,1.248470212177565
68,0.2707673115888338
69,0.397812196705712
70,-0.3387608476884162
71,0.8069572356350367
72,-0.3950775667447018
73,-5.389174338595264
74,-5.530956769744753
75,-1.647432239438387
76,-2.300340361528944
77,-3.463234338496918
78,-5.244053557361048
79,-5.923957021294501
80,0.3089346182007771
81,-3.694249500900736
82,-5.119085326723625
83,-0.2228848192633559
84,-3.296465465217975
85,2.313800353893013
86,-5.800169478512363
87,-2.292675737688428
88,-0.5781381911535031
89,-1.781976369206821
90,-3.659563127768165
91,-5.1298522814213
92,-0.2934367413465739
93,-1.743442245048303
94,-3.409953612177734
95,-4.03292963415376
96,-8.252373522097582
97,-2.771077421463183
98,-5.625207494613096
99,-1.189292060293595
100,-7.915406948816408
101,-6.625741917905382
102,-5.120700504731801
103,-0.7652948094938159
104,-6.955807003290102
105,-9.664807885870738
106,-11.19846283353007
107,-1.189658105050656
108,-7.972871520983197
109,-10.83337423407234
110,-7.888927314494746
111,-8.942093526013691
112,-10.29550320488183
113,-8.059037339865707
114,-4.88497184940406
115,-12.29239277863557
116,-11.1622828506661
117,-10.00565153558096
118,-12.59091691828879
119,-15.60896590559965
120,-13.65849429229252
121,-12.33942864841692
122,-9.679079347528933
123,-9.281981627032012
124,-7.981153552931522
125,-8.3668321765554
126,-7.588489888624183
127,-7.938438991149076
128,-6.511557909628262
129,-7.298529706809521
130,-5.724402224868417
131,-6.683050564368458
132,-5.059369649845585
133,-6.742214141296716
134,-4.566714984168225
135,-3.227217687804908
136,-4.127305604752388
137,-4.128522211593898
138,-1.257743640859293
139,-0.5825930557160619
140,-2.465690525372636
141,-2.496420032356281
142,1.244674403227781
143,1.420963937529743
144,0.03032066905115194
145,0.1881277394715561
146,-0.31494908002768
147,-1.224834478791625
148,-0.2417054782501209
149,0.9111536228888345
150,nan
151,nan
152,-1762.382887643296
153,nan
154,-0.533542524204034
155,-0.2611880889573802
156,-0.7926267890683349
157,-1.119407757334639
158,-1.223072380347025
159,-3.199628819410894
160,-0.9639792678275367
161,-1.28692954628015
162,0.6887457445682212
163,-1.610681896738549
164,-0.3612451015477185
165,-1.311624263049576
166,-0.8473736196205109
167,-1.82113321818054
168,-2.323309441015303
169,-2.355793599956742
170,-0.6739185706715618
171,-1.699894413972805
172,-1.691367277465879
173,-1.367201698619861
174,-4.560399369086761
175,-3.892041805316633
176,-3.611194954292558
177,-3.286196968751549
178,-3.687969967761258
179,-2.55175527148862
180,-1.564415316182358
181,-3.567636636588906
182,-5.009278682789263
183,-4.585562922957632
184,-3.267980990689964
185,-2.250066116068802
186,-3.142726736049525
187,-3.822282290206097
188,-3.09807843777112
189,-1.227710612511813
190,-2.321777312831451
191,-2.874177246170869
192,-2.026786519282893
193,-0.3455596338452216
194,-1.303506535525201
195,-1.336236648606909
196,-1.195123219260085
197,-3.227741308487507
198,-2.873779208778917
199,-2.451839596102532
200,1.713823484756125
201,2.149087380965663
202,-0.07268958954902649
203,2.238840959927822
204,2.127784412972793
205,-0.1766033015849101
206,0.9067730139295406
207,-0.4987215143853019
208,1.499489075016017
209,1.075164023924095
210,-0.1325197051994018
211,-1.48106039611132
212,-0.1563407427548292
213,0.2653153837791999
214,-0.0005566565389980016
215,0.4421942974511083
216,-0.6717346453600387
217,0.09573864023491638
218,-1.137276512802417
219,0.4565441575537293
220,-0.07036725585206294
221,0.5215705746080584
222,-0.2862868230373178
223,-1.014448975556763
224,-0.8924097352578816
225,-0.3760543819538001
226,-0.08630674033963937
227,0.3527542443914491
228,0.4567812028059324
229,2.037957000919683
230,2.944253857375822
231,0.5874808221453578
232,7.091518999246949
233,3.775645194617451
234,2.099239965210911
235,6.889125105708347
236,1.195869590138762
237,-0.637878632546439
238,-4.724968418431372
239,-2.519568529018451
240,-5.676459683992205
241,1.749721296197664
242,1.202092018714432
243,2.125499195917163
244,3.904702075330403
245,1.363816449077205
246,-2.163131583816173
247,-5.191138175209865
248,-5.250975917333198
249,-0.2593616662081482
250,-5.026413426191914
251,-9.577938988412296
252,-5.285318508773074
253,-2.024954100809337
254,-3.164125785749694
255,-5.407586284956162
256,-11.25767358502143
257,-0.9423038945135298
258,-9.216014568106214
259,-12.5521409257379
260,-14.95173555403237
261,-5.548236530022367
262,-10.77271143696516
263,-7.625685053387771
264,-14.02770878493647
265,-14.11098371854449
266,-17.10565632166956
267,-19.99897289761819
268,-20.50405466177486
269,-22.07328811587217
270,-21.43946757764579
271,-23.61225702730526
272,-22.45630733984425
273,-23.11561811810019
274,-22.23482483546371
275,-23.27898522433564
276,-18.93473608554186
277,-22.82571052700246
278,-15.19983788429716
279,-17.56209240211095
280,-15.9145227182867
281,-11.93461403265911
282,-9.725700645947892
283,-12.05392217510786
284,-7.156471458404648
285,-5.16581755124248
286,-4.018113279493219
287,-3.881888187466367
288,-1.315525433782436
289,-2.395582578702168
290,-1.461948434095405
291,-2.843518616858938
292,-4.324939818059289
293,-2.433151492565314
294,-1.554622398356145
295,-0.4157018450707266
296,-1.338057079522279
297,1.222152946038555
298,-1.447567941595385
299,-0.4243815625650818
300,1.400111932302096
301,-0.7698772805249829
302,1.511233195758582
303,0.520027538926184
304,nan
305,nan
306,-1701.153705004793
307,nan
308,0.3998543601282694
309,0.4289379407009942
310,-0.2910939074717015
311,1.927571892335467
312,-0.5235347150914513
313,1.114504192810761
314,0.3883136656167837
315,0.1145625824039446
316,-1.086894568329392
317,0.6239399627127413
318,1.152382497450546
319,-1.971177992447628
320,-1.921814159478158
321,1.296985706771528
322,0.8822327023780561
323,0.8379212393888034
324,-0.02895998827158097
325,-1.963648845918719
326,-2.303046282719836
327,-0.8361916331022827
328,-0.271656967308639
329,-0.824916430245436
330,1.041776440419695
331,1.764483520518632
332,2.258226442147432
333,2.652837181431889
334,1.347933626898
335,3.755743964244881
336,5.002528666918344
337,2.384199146629825
338,4.33016778508794
339,2.813675272662795
340,1.418536936590488
341,4.960679507873729
342,2.406975485393077
343,3.705763189682576
344,2.086393502512131
345,3.297985907541315
346,3.825979783114213
347,2.652830133087577
348,3.674393287651065
349,2.595134600000821
350,2.363406889712864
351,4.240152856763402
352,2.612402028011664
353,1.732852491734799
354,1.19567133217093
355,0.5424686044222535
356,0.8818590209451658
357,2.344279995267045
358,0.5729459958556706
359,0.258788184108098
360,2.261765732208368
361,1.36826956057813
362,2.955603502937234
363,3.117454086372284
