t	ns	xATP	yCurrent						
0.00685	685	0	0.218315524356899						
0.02055	685	0	-1.89570300342961						
0.03424	684	0	-2.51892531281198						
0.04793	685	0	-1.36755485074884						
0.06163	685	0	-1.75239082053574						
0.07533	685	0	-0.275405126359342						
0.08902	684	0	-0.783026072351449						
0.10271	685	0	-0.781331276298046						
0.11641	685	0	-0.0145049058377166						
0.13011	685	0	0.433672856033553						
0.14381	685	0	1.1218394765002						
0.1575	684	0	0.0736193706797495						
0.17119	685	0	-1.1844260013123						
0.18489	685	0	-1.39908916949761						
0.19859	685	0	-0.884928285867286						
0.21228	684	0	0.430899633170554						
0.22597	685	0	0.411916970292914						
0.23967	685	0	0.536348908624202						
0.25337	685	0	-2.32160864245114						
0.26707	685	0	-2.16206005067475						
0.28076	684	0	-0.831131410321506						
0.29445	685	0	-0.333803822823902						
0.30815	685	0	-0.778830282924876						
0.32185	685	0	-0.786187914732114						
0.33555	685	0	-0.366369362788158						
0.34924	684	0	0.311597491523934						
0.36293	685	0	0.301011196021414						
0.37663	685	0	0.0252202915084409						
0.39033	685	0	-0.180972578479158						
0.40402	684	0	0.0707596027009895						
0.41771	685	0	0.904404666360255						
0.431410000000001	685	0	0.142135466690614						
0.445110000000001	685	0	0.844556245781084						
0.458810000000001	685	0	0.841362341919257						
0.472500000000001	684	0	0.941756588677816						
0.486190000000001	685	0	1.47636405816569						
0.499890000000001	685	0	1.68716171304627						
0.513590000000001	685	0	0.807849531919876						
0.527280000000001	684	0	0.833968809020269						
0.540970000000001	685	0	-0.0680269158251486						
0.554670000000001	685	0	0.413429344542117						
0.568370000000001	685	0	1.01898299152191						
0.582070000000001	685	0	-0.000844670489884082						
0.595760000000001	684	0	-0.455486643939016						
0.609450000000001	685	0	-0.461360749868967						
0.623150000000001	685	0	-0.971327833489267						
0.636850000000001	685	0	0.395235745454745						
0.650540000000001	684	0	0.647410044238249						
0.664230000000001	685	0	0.274581610239734						
0.677930000000001	685	0	0.37144122433426						
0.691630000000001	685	0	-0.038105211540937						
0.705330000000001	685	0	-0.888991773597342						
0.719020000000001	684	0	-1.11693253135812						
0.732710000000001	685	0	-0.95686818242396						
0.746410000000001	685	0	-0.862990714736307						
0.760110000000001	685	0	-0.615444996905681						
0.773810000000001	685	0	0.63573457614574						
0.787500000000001	684	0	-0.367142525900988						
0.801190000000001	685	0	0.318654726927026						
0.814890000000001	685	0	0.432872187313391						
0.828590000000001	685	0	0.534206274020936						
0.842280000000001	684	0	1.20913799310178						
0.855970000000001	685	0	1.1281871881377						
0.869670000000001	685	0	1.68994087301706						
0.883370000000001	685	0	1.10906887306365						"|"
0.897070000000001	685	0	0.55444101449353						
0.910760000000001	684	0	0.768978417113316						
0.924450000000001	685	0	-0.0375789504103073						
0.938150000000001	685	0	0.0806744316468838						
0.951850000000001	685	0	0.956949334247946						
0.965540000000001	684	0	0.995045648245178						
0.979230000000001	685	0	0.749838013287133						
0.992930000000001	685	0	0.759779336645209						
0.999790000000001	1	0	-2.10860570283269						
0.999810000000001	1	0	0.157324365322651						
0.999830000000001	1	0	2.91592256193299						
0.999850000000001	1	0	-2.95146302363896						
0.999870000000001	1	0	-0.628884703779733						
0.999890000000001	1	0	5.46852711598375						
0.999910000000001	1	0	7.778230833183						
0.999930000000001	1	1.96373958092631	-1.87772116179717						
0.999950000000001	1	81.4010876570519	1.1091866553167						
0.999970000000001	1	339.9901397586	10.9625492244165						
0.99999	1	1199.96352644272	7.52674692789152						
1.00001	1	2897.90279569727	5.23335104072823						
1.00003	1	5015.13470928206	6.8555509758849						
1.00005	1	6869.60054474346	-1.52667366260189						
1.00007	1	8100.81082823329	-11.0607460857343						
1.00009	1	8785.5328986506	-20.6282924757827						
1.00011	1	9202.53407148503	-25.1859018174133						
1.00013	1	9269.42016997573	-36.4726368159901						
1.00015	1	8872.86664701075	-47.5877104457673						
1.00017	1	7735.48259791285	-68.6291027263841						
1.00019	1	6030.14755057889	-86.5539828564433						
1.00021	1	4381.97065278359	-102.782848662762						
1.00023	1	3016.44609397335	-129.031588565916						
1.00025	1	1997.05080797167	-153.978276986725						
1.00027	1	1330.30433154943	-184.499668359302						
1.00029	1	931.118407978242	-210.270331350349						
1.00031	1	637.421590562591	-233.588811688093						
1.00034	2	293.322364052168	-271.267623832772						
1.00037	1	82.4696235436131	-304.006021783397						
1.00039	1	27.878060596175	-323.378007252437						
1.00041	1	5.6176353666448	-356.012550074938						
1.00043	1	0	-381.433882180478						
1.00045	1	0	-403.189385755301						
