model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_7_inact,0,Binding_on,Log10,12,1.079181246047625
scheme_7_inact,1,Binding_off,Log10,6731,3.828079590556746
scheme_7_inact,2,Rocking_on,Log10,9035,3.955928156896951
scheme_7_inact,3,Rocking_off,Log10,242,2.383815365980431
scheme_7_inact,4,Gating_on,Log10,1380,3.139879086401236
scheme_7_inact,5,Gating_off,Log10,110,2.041392685158225
scheme_7_inact,6,BR,Log10,4295,3.632963168167261
scheme_7_inact,7,BR_0,Log10,4295,3.632963168167261
scheme_7_inact,8,BR_1,Log10,4295,3.632963168167261
scheme_7_inact,9,BG,Log10,0.39,-0.4089353929735008
scheme_7_inact,10,BG_0,Log10,1,0
scheme_7_inact,11,BG_1,Log10,0.39,-0.4089353929735008
scheme_7_inact,12,RG,Log10,626.5799999999999,2.796976528387594
scheme_7_inact,13,RG_0,Log10,5.31,0.725094521081469
scheme_7_inact,14,RG_1,Log10,62.1,1.79309160017658
scheme_7_inact,15,Gating_Current,Log10,1,0
scheme_7_inact,16,Current_Noise,Log10,0.001,-3
scheme_7_inact,17,Pink_Noise,Log10,5,0.6989700043360189
scheme_7_inact,18,Proportional_Noise,Fixed,0,0
scheme_7_inact,19,Current_Baseline,Log10,1,0
scheme_7_inact,20,Num_ch,Log10,4800,3.681241237375587
scheme_7_inact,21,inactivation_rate,Log10,1e-05,-5
