model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_6_inact,0,Binding_on,Log10,9.279999999999999,0.967547976218862
scheme_6_inact,1,Binding_off,Log10,1871,3.27207378750001
scheme_6_inact,2,Rocking_on,Log10,3875,3.588271706842329
scheme_6_inact,3,Rocking_off,Log10,1.07,0.02938377768520967
scheme_6_inact,4,Gating_on,Log10,914,2.960946195733832
scheme_6_inact,5,Gating_off,Log10,776,2.889861721258189
scheme_6_inact,6,BR,Log10,74.86499999999998,1.874278828921804
scheme_6_inact,7,BR_0,Log10,1.15,0.06069784035361165
scheme_6_inact,8,BR_1,Log10,33.3,1.52244423350632
scheme_6_inact,9,BG,Log10,1.77,0.2479732663618066
scheme_6_inact,10,BG_0,Log10,1.77,0.2479732663618066
scheme_6_inact,11,BG_1,Log10,0.77,-0.1135092748275181
scheme_6_inact,12,RG,Log10,123,2.089905111439398
scheme_6_inact,13,RG_0,Log10,1,0
scheme_6_inact,14,RG_1,Log10,635,2.802773725291976
scheme_6_inact,15,Gating_Current,Log10,1,0
scheme_6_inact,16,Current_Noise,Log10,0.001,-3
scheme_6_inact,17,Pink_Noise,Log10,5,0.6989700043360189
scheme_6_inact,18,Proportional_Noise,Fixed,0,0
scheme_6_inact,19,Current_Baseline,Log10,1,0
scheme_6_inact,20,Num_ch,Log10,4800,3.681241237375587
scheme_6_inact,21,inactivation_rate,Log10,1e-05,-5
