model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_9,0,Binding_on,Log10,10,1,2
scheme_9,1,Binding_off,Log10,100,2,2
scheme_9,2,Rocking_on,Log10,100,2,2
scheme_9,3,Rocking_off,Log10,100,2,2
scheme_9,4,RB,Log10,100,2,2
scheme_9,5,RB_0,Log10,1,0,2
scheme_9,6,RB_1,Log10,1,0,2
scheme_9,7,Rocking_Current_factor,Log10,100,2,2
scheme_9,8,Leakeage_current_ratio,Log10,9.99999999999999955e-07,-6,2
scheme_9,9,Gating_Current,Log10,1,0,2
scheme_9,10,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_9,11,Pink_Noise,Fixed,0,0,0
scheme_9,12,Proportional_Noise,Fixed,0,0,0
scheme_9,13,Current_Baseline,Log10,1,0,2
scheme_9,14,Num_ch,Log10,4799.99999999999909,3.68124123737558717,2
