key,param,z_diag,z,lo,hi,bias_log10,covers0
LSE,k_on,-0.169914408330618,-0.00487523704049185,-0.179711501593711,0.191017936380333,-0.000318395712606695,TRUE
LSE,k_off,0.273998273036672,0.21469851628223,0.0137033934864254,0.37892326570977,0.00394858337145426,FALSE
LSE,i,-0.185315638570225,0.0335596290847722,-0.154843064563145,0.211389346763974,0.00138343871489027,TRUE
ILSE,k_on,-0.161689407381142,0.0164849301747953,-0.168023042186852,0.205553413575078,0.00107862822316597,TRUE
ILSE,k_off,0.276924416851777,0.219227570954887,0.0314757254016886,0.422871836443713,0.00403386355962074,FALSE
ILSE,i,-0.180569062578861,0.0164798923986135,-0.180574359275371,0.191930709029095,0.000680390722172172,TRUE
NR,k_on,-0.149600782254333,-0.278537727434092,-0.59688705087444,-0.021389317261634,-0.0157354126664257,FALSE
NR,k_off,0.482347400625785,0.538240599170815,0.327821245732738,0.751101424684297,0.0102540107283313,FALSE
NR,i,-0.284304740588832,-0.946441047564561,-1.10866983959912,-0.794055837403761,-0.068329397885313,FALSE
NR,N_ch,-0.197667990897648,0.918923791546083,0.745489257678095,1.13617510598899,0.0819772757825077,FALSE
INR,k_on,-0.0591793447874445,0.0722178242184345,-0.101617156858282,0.238081776898389,0.0058207907292056,TRUE
INR,k_off,0.126052146621803,0.083523198192726,-0.223226260803459,0.361009839421097,0.00124659243181347,TRUE
INR,i,-0.0747906762790938,0.0359535552692941,-0.167579613467735,0.232845215998637,0.00265236285008386,TRUE
INR,N_ch,-0.0754399013433647,-0.0572882224099229,-0.244931250050877,0.151514802615253,-0.00565575360094846,TRUE
R,k_on,-0.323690847784839,-0.166877747415831,-0.237032818562574,-0.112931777822859,-0.0318325993510447,FALSE
R,k_off,-0.434260888604373,-0.0547371128462135,-0.112462584147833,0.00453681004626219,-0.00342486702665859,TRUE
R,i,-0.742731706293178,-1.38308711557543,-1.42788933174643,-1.33392805007479,-0.130708524867502,FALSE
R,N_ch,-0.33535507900321,0.81584436809169,0.753694479493505,0.875219356757965,0.146095649259254,FALSE
MR,k_on,-0.309523201952222,-0.17581199446512,-0.245749327236433,-0.102094715529585,-0.0280400780468288,FALSE
MR,k_off,-0.600504928939725,-0.150708203099109,-0.211125785913216,-0.0812871544463965,-0.00925064758523228,FALSE
MR,i,-0.924302476953692,-1.9563859299519,-1.99760031152077,-1.90809274666836,-0.178022770484158,FALSE
MR,N_ch,-0.371574382099996,1.1374845014973,1.06787664190604,1.19597595511982,0.189980758181839,FALSE
VR,k_on,-0.137236623565556,0.0504867924622615,-0.0411091960871346,0.162722363681252,0.00712783349124843,TRUE
VR,k_off,-0.406505843336725,-0.210594468362618,-0.275061984200162,-0.149193041008515,-0.0128612547748602,FALSE
VR,i,-0.5160546659286,-1.09062873157045,-1.14780710019669,-1.03482971127119,-0.100752309354053,FALSE
VR,N_ch,-0.199736834175,0.565251316235294,0.48484779155522,0.638351470788202,0.0915567960935839,FALSE
IR,k_on,-0.00841573528584141,0.0346649591082061,-0.0307899472550763,0.0988885644735061,0.00656236966821944,TRUE
IR,k_off,0.0154657346050635,-0.0107454500493314,-0.0639057816219588,0.0452760419443198,-0.000668619267572989,TRUE
IR,i,-0.0110684614938506,0.0220658589818734,-0.0394469081990949,0.0837307418402905,0.00214721673971271,TRUE
IR,N_ch,-0.0151156491041426,-0.036025994428156,-0.096704794305762,0.0252511265730683,-0.00649829983128592,TRUE
