model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_15_inact,0,Binding_on,Log10,10,1
scheme_15_inact,1,Binding_off,Log10,100,2
scheme_15_inact,2,Rocking_on,Log10,100,2
scheme_15_inact,3,Rocking_off,Log10,100,2
scheme_15_inact,4,Gating_on,Log10,100,2
scheme_15_inact,5,Gating_off,Log10,100,2
scheme_15_inact,6,RB,Log10,100,2
scheme_15_inact,7,RB_0,Log10,10,1
scheme_15_inact,8,RB_1,Log10,10,1
scheme_15_inact,9,BR,Log10,10,1
scheme_15_inact,10,BR_0,Log10,1,0
scheme_15_inact,11,BR_1,Log10,1,0
scheme_15_inact,12,RBR,Log10,1,0
scheme_15_inact,13,RBR_0,Log10,1,0
scheme_15_inact,14,RBR_1,Log10,1,0
scheme_15_inact,15,RBR_2,Log10,1,0
scheme_15_inact,16,RG,Log10,100,2
scheme_15_inact,17,RG_0,Log10,10,1
scheme_15_inact,18,RG_1,Log10,10,1
scheme_15_inact,19,Gating_Current,Log10,1,0
scheme_15_inact,20,Current_Noise,Log10,0.001,-3
scheme_15_inact,21,Pink_Noise,Log10,5.00000000000000089,0.698970004336018857
scheme_15_inact,22,Proportional_Noise,Fixed,0,0
scheme_15_inact,23,Current_Baseline,Log10,1,0
scheme_15_inact,24,Num_ch,Log10,4800,3.681241237375587
scheme_15_inact,25,inactivation_rate,Log10,1e-05,-5
