model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_8_inact,0,Binding_on,Log10,10,1,2
scheme_8_inact,1,Binding_off,Log10,100,2,2
scheme_8_inact,2,Rocking_on,Log10,100,2,2
scheme_8_inact,3,Rocking_off,Log10,100,2,2
scheme_8_inact,4,RBR,Log10,100,2,2
scheme_8_inact,5,RBR_0,Log10,10,1,2
scheme_8_inact,6,RBR_1,Log10,10,1,2
scheme_8_inact,7,RBR_2,Log10,10,1,2
scheme_8_inact,8,Rocking_Current_factor,Log10,100,2,2
scheme_8_inact,9,Leakeage_current_ratio,Log10,9.99999999999999955e-07,-6,2
scheme_8_inact,10,Gating_Current,Log10,1,0,2
scheme_8_inact,11,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_8_inact,12,Pink_Noise,Fixed,0,0,0
scheme_8_inact,13,Proportional_Noise,Fixed,0,0,0
scheme_8_inact,14,Current_Baseline,Log10,1,0,2
scheme_8_inact,15,Num_ch,Log10,4799.99999999999909,3.68124123737558717,2
scheme_8_inact,16,inactivation_rate,Log10,1.00000000000000008e-05,-5,2
