model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_3,0,kon_0,Log10,10,1,2
scheme_3,1,koff_0,Log10,100,2,2
scheme_3,2,kon_1,Log10,10,1,2
scheme_3,3,koff_1,Log10,100,2,2
scheme_3,4,kon_2,Log10,10,1,2
scheme_3,5,koff_2,Log10,100,2,2
scheme_3,6,gating_on_0,Log10,10,1,2
scheme_3,7,gating_off_0,Log10,10,1,2
scheme_3,8,gating_on_1,Log10,1000,3,2
scheme_3,9,gating_off_1,Log10,1000,3,2
scheme_3,10,desensitization_on_0,Log10,100,2,2
scheme_3,11,desensitization_off_0,Log10,100,2,2
scheme_3,12,desensitization_on_1,Log10,100,2,2
scheme_3,13,unitary_current,Log10,1,0,2
scheme_3,14,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_3,15,Pink_Noise,Log10,5.00000000000000089,0.698970004336018857,2
scheme_3,16,Proportional_Noise,Log10,0.0100000000000000002,-2,2
scheme_3,17,Current_Baseline,Log10,1,0,2
scheme_3,18,Num_ch_mean,Log10,4999.99999999999909,3.69897000433601875,2
