i_step,patch_current
0,2.116353977218667
1,2.1020752032870367
2,1.8098780443675933
3,1.247486953898046
4,1.5563831144667533
5,1.579186817056774
6,1.6644722149880282
7,1.4798648844246254
8,1.4246679229177248
9,1.3684295743231654
10,1.6120843738159334
11,1.0902480932947762
12,1.3657896982034237
13,1.2401549800248952
14,1.5338420658268594
15,1.0822392046657225
16,0.7486586457568326
17,0.9285157012135097
18,1.595527877095042
19,1.213095295673443
20,0.9210944589737222
21,0.9095437224635803
22,1.0223430876618194
23,1.527446435139563
24,1.1534451857160215
25,1.2681090862571223
26,1.4994504914420717
27,1.5761817586570732
28,1.361950697776291
29,1.5980834757096085
30,1.3399156633365032
31,1.4577516678047109
32,1.5990488794340216
33,1.5285430425924136
34,1.2822906205582765
35,1.1702972505165516
36,1.1347573515857716
37,1.4904725607895137
38,1.8926741962693325
39,2.198801962917006
40,2.037649612741583
41,1.8437966421915992
42,2.1017032472186754
43,2.3053686566069898
44,1.931752511251726
45,2.1908385157941694
46,2.2776565203666306
47,1.9758053773871946
48,2.1532447584222907
49,1.9809021053843838
50,1.6962197705465427
51,1.5178406751798643
52,1.507022286719205
53,1.5933440224804354
54,0.8876553237331138
55,0.8720744707411101
56,1.0974693861587674
57,1.0003528679910763
58,0.23129839418324
59,0.6870548029650217
60,1.1204029195372105
61,1.2807261177926592
62,1.3315245633826065
63,1.3754811174119959
64,1.2486974698012085
65,1.5189286386400573
66,1.6313627400081532
67,1.5022397796180784
68,1.3909762935904182
69,1.4157815823924904
70,1.6367946985435056
71,1.6510288849742834
72,1.1943577480419105
73,2.125052153269029
74,3.2926033373405486
75,4.668865925857327
76,4.978874082513568
77,3.44411625290841
78,0.7977634183237443
79,-1.387442296504777
80,-2.155832221326338
81,-1.7626987903914586
82,-1.0996493385757633
83,-0.7731584218406198
84,-0.7734796245379895
85,-0.9423832134721178
86,-1.370947580387334
87,-1.9603534840135153
88,-1.9534058832273697
89,-0.6852715676648622
90,1.2063911609820737
91,2.0710493935706653
92,0.980399362412982
93,-1.2397482930827541
94,-2.8725805795614625
95,-3.014912522252266
96,-2.318268566335693
97,-2.050199532896596
98,-2.564165262270694
99,-2.9996694407066267
100,-2.1835333157257524
101,-1.7284371965293288
102,-2.612444195265809
103,-3.3775983512017245
104,-3.025381202672009
105,-1.8695636113933682
106,-1.5457718499669793
107,-3.960123976397713
108,-4.9954108434668
109,-4.669289133554269
110,-5.259500411929112
111,-6.4536098261807195
112,-4.529560337923834
113,-5.438395401566724
114,-7.227977384199565
115,-2.161797257452002
116,-3.128271459529743
117,-4.0308633162061
118,-3.780547635231677
119,-7.966671765923459
120,-7.110230092463166
121,-8.175879070157519
122,-8.412830850502441
123,-6.961355488152334
124,-6.191942378894391
125,-4.598551763613132
126,-5.820623958045922
127,-5.424333006683433
128,-4.600831460388804
129,-3.516541488341752
130,-2.733482243133508
131,-3.2255979791873397
132,-1.4111795906399378
133,-1.7878909212700427
134,-1.6067525488750016
135,-1.1849658151119662
136,-0.8009752671281015
137,1.4077240061408016
138,1.480843163904553
139,1.5724026748254547
140,1.9590370435287747
141,2.122299580336833
142,2.103753361517882
143,1.986168031396026
144,2.0264093778157113
145,1.9945683908695346
146,2.1007195142260287
147,2.0955994686683677
148,2.1527793040333303
149,2.0290996767373572
150,nan
151,nan
152,-1749.1770420534167
153,nan
154,1.8065342983562263
155,2.0196311819375152
156,2.4510676350221887
157,2.0449945249377426
158,1.957900641975544
159,2.08418834278294
160,1.896447283670653
161,1.9531747799456218
162,1.966381037302327
163,2.2007321754137448
164,1.9235763983046172
165,2.1653190758860696
166,2.0524979670115067
167,1.9229038186053744
168,2.0474014021489317
169,2.1460556664022263
170,2.0552224544649977
171,2.1109764509272586
172,2.341619867786009
173,1.7972148994719177
174,2.1037319330186826
175,2.066163038017472
176,1.8793062394230462
177,2.317547906355015
178,2.219245237411185
179,2.013269762144027
180,2.268486709661717
181,2.0245233142663444
182,2.051893394437486
183,1.9173643352378182
184,2.499954902025203
185,2.13628616688374
186,2.0210450680112206
187,2.155429792682291
188,1.8521315562629193
189,2.202159618663812
190,2.1903005888549276
191,2.13615737692363
192,2.191252645559361
193,2.135017258112877
194,2.0011796717037065
195,1.8555671887125151
196,2.1339047733744274
197,2.2002486767190703
198,1.9139032851331559
199,2.4885368161390033
200,2.180432419245064
201,2.277352686475261
202,1.821162214991868
203,1.9814615432851068
204,2.1066571914089347
205,2.2609450231492376
206,1.9873191161717707
207,2.205721822988088
208,2.154804586584863
209,2.1295155457586885
210,2.094411426262268
211,1.9445852523061589
212,2.1690215910223767
213,1.9130970780621346
214,2.1278306610378777
215,2.162940780101853
216,2.427602584700741
217,2.535971855222535
218,1.9284706568067236
219,2.1391338701315132
220,1.958386246218896
221,2.165140672524247
222,2.4781958189853235
223,2.19227471608359
224,2.1381244373091235
225,2.2544426704088103
226,2.0867260048918457
227,3.274637872463923
228,3.1521462357427175
229,2.860226621026308
230,2.04611123644231
231,0.7210939343556629
232,-0.26231504957581303
233,0.18458957673414195
234,2.152711491975003
235,4.4198545251137595
236,5.539762881207524
237,5.083624836383907
238,3.781174424668058
239,2.733703244909945
240,2.521506856528979
241,2.7439716489264256
242,2.4767538772749393
243,1.4293684790119432
244,0.3275735399795071
245,-0.03081289737691989
246,0.4697819043249914
247,1.516722965675476
248,2.5848784384879795
249,2.758087947206586
250,1.147569647270186
251,-2.069428847352681
252,-5.420092202554013
253,-7.345739155510718
254,-7.189254599998503
255,-6.544809214425112
256,-7.325058147601414
257,-9.169670907939913
258,-11.241026935224623
259,-12.434271094109256
260,-11.951046676792785
261,-11.18976668845933
262,-13.789953383107148
263,-15.3255994942752
264,-12.210608880493002
265,-12.943256864591898
266,-16.148073577787926
267,-15.960200768421018
268,-16.734723048893475
269,-19.519935458270457
270,-20.12297521912484
271,-14.756664596593007
272,-17.43280480157185
273,-15.150795784681094
274,-13.094576430642762
275,-12.48246554242328
276,-11.683459643140893
277,-10.299187367940048
278,-10.652365691996863
279,-6.700896003239799
280,-4.153467159880726
281,-3.8442753165038726
282,-4.1297335369114485
283,-3.234416835574075
284,-2.18174807212549
