i_step,time,i_sub_step,number_of_samples,ATP_concentration
78,0.9998900000000021,0,1,0
79,0.999910000000002,0,1,0
80,0.999930000000002,0,1,0
81,0.999950000000002,0,1,0
82,0.9999700000000019,0,1,0
83,0.999990000000002,0,1,0
84,1.00001,0,1,0
85,1.00003,0,0.1140336559724426,0
85,1.00003,1,0.8859663440275574,92.6122635500175
86,1.00005,0,1,92.6122635500175
87,1.00007,0,1,92.6122635500175
88,1.00009,0,1,92.6122635500175
89,1.00011,0,1,92.6122635500175
90,1.00013,0,1,92.6122635500175
91,1.00015,0,1,92.6122635500175
92,1.00017,0,1,92.6122635500175
93,1.00019,0,1,92.6122635500175
94,1.00021,0,0.453762103186655,92.6122635500175
94,1.00021,1,0.546237896813345,0
95,1.00023,0,1,0
96,1.00025,0,1,0
97,1.00027,0,1,0
98,1.00029,0,1,0
99,1.00031,0,1,0
100,1.00034,0,2,0
101,1.00037,0,1,0
102,1.00039,0,1,0
103,1.00041,0,1,0
104,1.00043,0,1,0
105,1.00045,0,1,0
106,1.00048,0,2,0
107,1.00052,0,2,0
108,1.00057,0,3,0
109,1.00063,0,3,0
110,1.0007,0,4,0
111,1.00079,0,5,0
112,1.00091,0,7,0
113,1.00106,0,8,0
114,1.00124,0,10,0
115,1.00147,0,13,0
116,1.00176,0,16,0
117,1.00213,0,21,0
118,1.0026,0,26,0
119,1.00318,0,32,0
120,1.00392,0,42,0
121,1.00485,0,51,0
122,1.00601,0,65,0
123,1.00748,0,82,0
124,1.00933,0,103,0
125,1.01166,0,130,0
126,1.01459,0,163,0
127,1.01828,0,206,0
128,1.02293,0,259,0
129,1.02878,0,326,0
130,1.03614,0,410,0
131,1.04541,0,517,0
132,1.05708,0,650,0
133,1.07177,0,819,0
134,1.09027,0,1031,0
135,1.11356,0,1298,0
136,1.14287,0,1633,0
137,1.17977,0,2057,0
138,1.22623,0,2589,0
139,1.28472,0,3260,0
140,1.35836,0,4104,0
141,1.45106,0,5166,0
142,1.56776,0,6504,0
143,1.71468,0,8188,0
144,1.89964,0,10308,0
145,2.13249,0,12977,0
146,2.42563,0,16337,0
147,2.79467,0,20567,0
148,3.25927,0,25893,0
149,3.82355,0,30535,0
150,32.6289,0,2850000,0
151,61.1314,0,0,0
151,61.1314,1,250,1000
152,61.1364,0,250,1000
153,91.1339,0,2999500,0
154,121.13575,0,685,0
155,121.14945,0,685,0
156,121.16314,0,684,0
157,121.17683,0,685,0
158,121.19053,0,685,0
159,121.20423,0,685,0
160,121.21792,0,684,0
161,121.23161,0,685,0
162,121.24531,0,685,0
163,121.25901,0,685,0
164,121.27271,0,685,0
165,121.2864,0,684,0
166,121.30009,0,685,0
167,121.31379,0,685,0
168,121.32749,0,685,0
169,121.34118,0,684,0
170,121.35487,0,685,0
171,121.36857,0,685,0
172,121.38227,0,685,0
173,121.39597,0,685,0
174,121.40966,0,684,0
175,121.42335,0,685,0
176,121.43705,0,685,0
177,121.45075,0,685,0
178,121.46445,0,685,0
179,121.47814,0,684,0
180,121.49183,0,685,0
181,121.50553,0,685,0
182,121.51923,0,685,0
183,121.53292,0,684,0
184,121.54661,0,685,0
185,121.56031,0,685,0
186,121.57401,0,685,0
187,121.58771,0,685,0
188,121.6014,0,684,0
