i_step,time,i_sub_step,number_of_samples,ATP_concentration
173,121.82053,0,685.0,0.0
174,121.83423,0,685.0,0.0
175,121.84792,0,684.0,0.0
176,121.86161,0,685.0,0.0
177,121.87531,0,685.0,0.0
178,121.88901,0,685.0,0.0
179,121.90271,0,685.0,0.0
180,121.9164,0,684.0,0.0
181,121.93009,0,685.0,0.0
182,121.94379,0,685.0,0.0
183,121.95749,0,685.0,0.0
184,121.97118,0,684.0,0.0
185,121.98487,0,685.0,0.0
186,121.99857,0,685.0,0.0
187,122.01227,0,685.0,0.0
188,122.025970000001,0,685.0,0.0
189,122.039660000001,0,684.0,0.0
190,122.053350000001,0,685.0,0.0
191,122.067050000001,0,685.0,0.0
192,122.080750000001,0,685.0,0.0
193,122.094440000001,0,684.0,0.0
194,122.108130000001,0,685.0,0.0
195,122.121830000001,0,685.0,0.0
196,122.128730000001,0,5.0,0.0
197,122.12883,0,5.0,0.0
198,122.12891,0,2.1158772390141234,0.0
198,122.12894999999999,1,2.8841227609858766,184.56358751690104
199,122.12903000000001,0,5.0,184.563587516901
200,122.1291,0,1.4530983785804512,184.563587516901
200,122.12914,1,3.546901621419549,0.0
201,122.1292275,0,5.0,0.0
202,122.129332,0,6.0,0.0
203,122.129445,0,5.0,0.0
204,122.129565,0,7.0,0.0
205,122.12969,0,5.0,0.0
206,122.12981,0,7.0,0.0
207,122.12996,0,8.0,0.0
208,122.13014,0,10.0,0.0
209,122.13037,0,13.0,0.0
210,122.13066,0,16.0,0.0
211,122.13103,0,21.0,0.0
212,122.1315,0,26.0,0.0
213,122.13208,0,32.0,0.0
214,122.13282,0,42.0,0.0
215,122.13375,0,51.0,0.0
216,122.13491,0,65.0,0.0
217,122.13638,0,82.0,0.0
218,122.13823,0,103.0,0.0
219,122.14056,0,130.0,0.0
220,122.14349,0,163.0,0.0
221,122.14718,0,206.0,0.0
222,122.15183,0,259.0,0.0
223,122.15768,0,326.0,0.0
224,122.16504,0,410.0,0.0
225,122.17431,0,517.0,0.0
226,122.18598,0,650.0,0.0
227,122.20067,0,819.0,0.0
228,122.21917,0,1031.0,0.0
229,122.24246,0,1298.0,0.0
230,122.27177,0,1633.0,0.0
231,122.30867,0,2057.0,0.0
232,122.35513,0,2589.0,0.0
233,122.41362,0,3260.0,0.0
234,122.48726,0,4104.0,0.0
235,122.57996,0,5166.0,0.0
236,122.69666,0,6504.0,0.0
237,122.84358,0,8188.0,0.0
238,123.02854,0,10308.0,0.0
239,123.26139,0,12977.0,0.0
240,123.55453,0,16337.0,0.0
241,123.92357,0,20567.0,0.0
242,124.38817,0,25893.0,0.0
243,124.95245,0,30535.0,0.0
244,153.7578,0,2850000.0,0.0
245,182.2603,0,0.0,0.0
245,182.2603,1,250.0,1000.0
246,182.2653,0,250.0,1000.0
247,212.2628,0,2999500.0,0.0
248,242.26465,0,685.0,0.0
249,242.27835,0,685.0,0.0
250,242.29204,0,684.0,0.0
251,242.30573,0,685.0,0.0
252,242.31943,0,685.0,0.0
253,242.33313,0,685.0,0.0
254,242.34682,0,684.0,0.0
255,242.36051,0,685.0,0.0
256,242.37421,0,685.0,0.0
257,242.38791,0,685.0,0.0
258,242.40161,0,685.0,0.0
259,242.4153,0,684.0,0.0
260,242.42899,0,685.0,0.0
261,242.44269,0,685.0,0.0
262,242.45639,0,685.0,0.0
263,242.47008,0,684.0,0.0
264,242.48377,0,685.0,0.0
265,242.49747,0,685.0,0.0
266,242.51117,0,685.0,0.0
267,242.52487,0,685.0,0.0
268,242.53856,0,684.0,0.0
269,242.55225,0,685.0,0.0
270,242.56595,0,685.0,0.0
