model_name,i_par,parameter_name,moment,value
model00,0,kon,mean,1
model00,1,koff,mean,2.301029995663981
model00,2,gatin_on,mean,3.176091259055681
model00,3,gating_off,mean,1.698970004336019
model00,4,inactivation_rate,mean,-5
model00,5,unitary_current,mean,0
model00,6,Current_Noise,mean,-3
model00,7,Pink_Noise,mean,0
model00,8,Proportional_Noise,mean,3.698970004336019
model00,9,Current_Baseline,mean,3.698970004336019
model00,10,Num_ch_0,mean,3.698970004336019
model00,11,Num_ch_1,mean,3.698970004336019
model00,12,Num_ch_2,mean,3.698970004336019
model00,13,Num_ch_3,mean,3.698970004336019
model00,14,Num_ch_4,mean,3.698970004336019
