model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
model9,0,Binding_on,Log10,10,1,2
model9,1,Binding_off,Log10,10000,4,2
model9,2,Rocking_on,Log10,100,2,2
model9,3,Rocking_off,Log10,10000,4,2
model9,4,RB,Log10,100,2,2
model9,5,RB_0,Log10,1,0,2
model9,6,RB_1,Log10,0.01,-2,2
model9,7,Rocking_Current_factor,Log10,100,2,2
model9,8,Inactivation_rate,Log10,0.001,-3,2
model9,9,leaking_current,Log10,0.01,-2,2
model9,10,Current_Noise,Log10,0.001,-3,2
model9,11,Pink_Noise,Log10,5.000000000000001,0.6989700043360189,2
model9,12,Proportional_Noise,Log10,0.01,-2,2
model9,13,Current_Baseline,Linear,1,1,2
model9,14,Num_ch,Log10,4999.999999999999,3.698970004336019,2
