model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
model8,0,Binding_on,Log10,10,1,2
model8,1,Binding_off,Log10,10000,4,2
model8,2,Rocking_on,Log10,100,2,2
model8,3,Rocking_off,Log10,10000,4,2
model8,4,RBR,Log10,100,2,2
model8,5,RBR_0,Log10,1,0,2
model8,6,RBR_1,Log10,0.01,-2,2
model8,7,RBR_2,Log10,1,0,2
model8,8,Rocking_Current_factor,Log10,100,2,2
model8,9,Inactivation_rate,Log10,0.0001,-4,2
model8,10,Leaking_current,Log10,0.01,-2,2
model8,11,Current_Noise,Log10,0.001,-3,2
model8,12,Pink_Noise,Log10,5.000000000000001,0.6989700043360189,2
model8,13,Proportional_Noise,Log10,0.01,-2,2
model8,14,Current_Baseline,Linear,1,1,2
model8,15,Num_ch,Log10,4999.999999999999,3.698970004336019,2
