model_name,i_par,parameter_name,moment,value
scheme_4_inact,0,kon_0,mean,1.203576774977973
scheme_4_inact,1,koff_0,mean,-1.721246399047171
scheme_4_inact,2,kon_1,mean,1.212187604403958
scheme_4_inact,3,koff_1,mean,2.57978359661681
scheme_4_inact,4,kon_2,mean,1.064457989226919
scheme_4_inact,5,koff_2,mean,3.833911715071379
scheme_4_inact,6,flipping_on,mean,3.57030938543588
scheme_4_inact,7,flipping_off,mean,1.638888424705075
scheme_4_inact,8,gating_on_0,mean,2.732393759822969
scheme_4_inact,9,gating_off_0,mean,3.036628895362161
scheme_4_inact,10,gating_on_1,mean,-1.481486060122112
scheme_4_inact,11,gating_off_1,mean,-0.6090648928966209
scheme_4_inact,12,desensitization_on_0,mean,1.493597449000527
scheme_4_inact,13,desensitization_off_0,mean,1.897627091290441
scheme_4_inact,14,desensitization_on_1,mean,0.6560982020128319
scheme_4_inact,15,unitary_current,mean,0
scheme_4_inact,16,Current_Noise,mean,-3
scheme_4_inact,17,Current_Baseline,mean,0
scheme_4_inact,18,Num_ch_mean,mean,3.698970004336019
scheme_4_inact,19,inactivation_rate,mean,-5
