model_name,i_par,parameter_name,moment,value
model7,0,Binding_on,mean,10
model7,1,Binding_off,mean,10000
model7,2,Rocking_on,mean,100
model7,3,Rocking_off,mean,10000
model7,4,Gating_on,mean,1
model7,5,Gating_off,mean,10000
model7,6,BR,mean,10
model7,7,BR_0,mean,1
model7,8,BR_1,mean,1
model7,9,BG,mean,10
model7,10,BG_0,mean,1
model7,11,BG_1,mean,1
model7,12,RG,mean,10
model7,13,RG_0,mean,1
model7,14,RG_1,mean,1
model7,15,Gating_Current,mean,1
model7,16,Inactivation_rate,mean,1
model7,17,Current_Noise,mean,0.001
model7,18,Pink_Noise,mean,5
model7,19,Proportional_Noise,mean,0.01
model7,20,Current_Baseline,mean,1
model7,21,Num_ch,mean,5000
