model_name,i_par,parameter_name,moment,value
model4,0,k01,mean,1.203576774977973
model4,1,k10,mean,-1.721246399047171
model4,2,k12,mean,1.212187604403958
model4,3,k21,mean,2.57978359661681
model4,4,k23,mean,1.064457989226919
model4,5,k32,mean,3.833911715071379
model4,6,k34,mean,3.57030938543588
model4,7,k43,mean,1.638888424705075
model4,8,k45,mean,2.732393759822969
model4,9,k54,mean,3.036628895362161
model4,10,k46,mean,-1.481486060122112
model4,11,k64,mean,-0.6090648928966209
model4,12,k57,mean,1.493597449000527
model4,13,k75,mean,1.897627091290441
model4,14,k67,mean,0.6560982020128319
model4,15,k08,mean,-5
model4,16,unitary_current,mean,0
model4,17,Current_Noise,mean,-3
model4,18,Pink_Noise,mean,0.6989700043360189
model4,19,Proportional_Noise,mean,-2
model4,20,Current_Baseline,mean,0
model4,21,Num_ch,mean,3.698970004336019
model4,0,k01,covar,2
model4,1,k10,covar,2
model4,2,k12,covar,2
model4,3,k21,covar,2
model4,4,k23,covar,2
model4,5,k32,covar,2
model4,6,k34,covar,2
model4,7,k43,covar,2
model4,8,k45,covar,2
model4,9,k54,covar,2
model4,10,k46,covar,2
model4,11,k64,covar,2
model4,12,k57,covar,2
model4,13,k75,covar,2
model4,14,k67,covar,2
model4,15,k08,covar,2
model4,16,unitary_current,covar,2
model4,17,Current_Noise,covar,2
model4,18,Pink_Noise,covar,2
model4,19,Proportional_Noise,covar,2
model4,20,Current_Baseline,covar,2
model4,21,Num_ch,covar,2
